user_id,task_type,priority_level,completion_time,accuracy,quality_score,task_status,title,due_date
User_13,Other,2,0.93,0.63,0.6,completed,,
User_15,Conceptual Design,3,0.4,0.12,0.62,completed,,
User_3,Zoning & Building Code Compliance,3,0.15,0.23,0.12,completed,,
User_13,Roof Plan,3,0.44,0.5,0.85,completed,,
User_15,Design Development,2,0.56,0.4,0.97,completed,,
User_4,Other,2,0.59,0.14,0.13,completed,,
User_12,Reflected Ceiling Plan,1,0.58,0.72,0.11,completed,,
User_10,Custom Millwork & Joinery Drawing,2,0.03,0.04,0.79,completed,,
User_15,Permit Drawing,2,0.44,0.09,0.81,completed,,
User_2,Material Board,1,0.57,0.56,0.61,completed,,
User_7,Door & Window Schedule,2,0.7,0.88,0.62,completed,,
User_16,General Specification,3,0.37,0.67,0.31,completed,,
User_13,Construction Document,3,0.17,0.88,0.07,completed,,
User_5,Other,1,0.75,0.99,0.07,completed,,
User_10,Landscape Plan,2,0.48,0.89,0.65,completed,,
User_13,Other,3,0.32,0.87,0.22,completed,,
User_16,Door & Window Schedule,3,0.77,0.38,0.53,completed,,
User_10,Landscape Plan,2,0.64,0.35,0.82,completed,,
User_16,Partition Plan,2,0.49,0.99,0.07,completed,,
User_14,Design Development,2,0.67,0.61,0.42,completed,,
User_5,Partition Plan,1,0.89,0.22,0.02,completed,,
User_8,Schematic Design,2,0.39,0.89,0.32,completed,,
User_16,Lighting & Fixture Plan,3,0.35,0.88,0.81,completed,,
User_10,Roof Plan,3,0.81,0.57,0.86,completed,,
User_18,Material Board,1,0.27,0.65,0.22,completed,,
User_20,Permit Drawing,2,0.98,0.65,0.79,completed,,
User_12,General Specification,3,0.72,0.42,0.06,completed,,
User_16,Other,1,0.22,0.82,0.39,completed,,
User_8,Floor Plan,3,0.13,0.63,0.36,completed,,
User_2,General Specification,1,0.69,0.93,0.77,completed,,
User_9,Finish Schedule,3,0.79,0.64,0.87,completed,,
User_5,Permit Drawing,1,0.01,0.73,0.02,completed,,
User_2,Floor Plan,3,0.92,0.69,0.67,completed,,
User_12,Finish Schedule,1,0.69,0.74,0.87,completed,,
User_2,Roof Plan,2,0.17,0.96,0.24,completed,,
User_5,Interior Layout Plan,1,0.88,0.94,0.35,completed,,
User_18,3D Render,1,0.97,0.76,0.87,completed,,
User_16,Partition Plan,3,0.28,0.54,0.24,completed,,
User_7,Hardscape Plan,2,0.84,0.26,0.58,completed,,
User_1,Permit Drawing,3,0.06,0.77,0.16,completed,,
User_8,Virtual Reality,1,0.61,0.03,0.89,completed,,
User_17,Design Development,2,0.74,0.49,0.07,completed,,
User_14,Roof Plan,1,0.7,0.52,0.01,completed,,
User_20,Zoning & Building Code Compliance,1,0.24,0.89,0.66,completed,,
User_8,Material Board,2,0.64,0.56,0.71,completed,,
User_2,Custom Millwork & Joinery Drawing,3,0.04,0.89,0.49,completed,,
User_19,Landscape Plan,3,0.43,0.98,0.28,completed,,
User_2,Section Drawing,1,0.16,0.57,0.7,completed,,
User_2,Permit Drawing,1,0.89,0.43,0.84,completed,,
User_14,Site Plan,2,0.31,0.55,0.78,completed,,
User_2,Schematic Design,3,0.99,0.45,0.3,completed,,
User_2,Furniture Layout Plan,2,0.61,0.03,0.56,completed,,
User_17,Design Development,1,0.97,0.96,0.32,completed,,
User_7,Roof Plan,3,0.91,0.14,0.12,completed,,
User_5,Section Drawing,3,0.49,0.66,0.57,completed,,
User_1,Partition Plan,3,0.25,0.97,0.3,completed,,
User_2,Interior Layout Plan,2,0.49,0.73,0.26,completed,,
User_18,Permit Drawing,2,0.58,0.74,0.51,completed,,
User_11,Reflected Ceiling Plan,2,0.81,0.02,0.27,completed,,
User_3,Material Board,3,0.28,0.74,0.1,completed,,
User_8,Partition Plan,3,0.23,0.08,0.48,completed,,
User_4,Reflected Ceiling Plan,2,0.76,0.68,0.71,completed,,
User_13,Partition Plan,2,0.22,0.74,0.83,completed,,
User_7,Finish Schedule,1,0.77,0.56,0.46,completed,,
User_6,Hardscape Plan,3,0.29,0.3,0.7,completed,,
User_19,Conceptual Design,3,0.89,0.14,0.68,completed,,
User_18,3D Model,1,0.8,0.68,0.4,completed,,
User_14,Roof Plan,3,0.79,0.81,0.54,completed,,
User_8,Elevation Drawing,2,0.43,0.76,0.04,completed,,
User_19,Technical Specification,2,0.89,0.55,0.59,completed,,
User_3,Door & Window Schedule,3,0.03,0.59,0.48,completed,,
User_11,Permit Drawing,3,0.06,0.66,0.13,completed,,
User_5,Schematic Design,2,0.82,0.68,0.52,completed,,
User_1,Door & Window Schedule,2,0.37,0.88,0.28,completed,,
User_10,Lighting & Fixture Plan,2,0.32,0.29,0.2,completed,,
User_4,Lighting & Fixture Plan,3,0.4,0.5,0.53,completed,,
User_6,Permit Drawing,3,0.37,0.24,0.92,completed,,
User_7,Lighting & Fixture Plan,3,0.37,0.03,0.03,completed,,
User_2,Reflected Ceiling Plan,2,0.14,0.81,0.28,completed,,
User_15,Furniture Layout Plan,3,0.84,0.78,0.37,completed,,
User_7,3D Model,1,0.26,0.15,0.01,completed,,
User_18,Zoning & Building Code Compliance,3,0.98,0.38,0.98,completed,,
User_20,3D Render,1,0.85,0.4,0.36,completed,,
User_10,Other,1,0.5,0.24,0.41,completed,,
User_5,Technical Specification,2,0.46,0.62,0.82,completed,,
User_10,3D Render,3,0.82,0.12,0.11,completed,,
User_10,Reflected Ceiling Plan,1,0.46,0.61,0.04,completed,,
User_10,Custom Millwork & Joinery Drawing,2,0.45,0.06,0.26,completed,,
User_1,Schematic Design,2,0.57,0.8,0.6,completed,,
User_2,General Specification,1,0.03,0.2,0.52,completed,,
User_20,Interior Layout Plan,1,0.78,0.68,0.73,completed,,
User_14,3D Model,2,0.85,0.31,0.33,completed,,
User_5,Construction Document,2,0.63,0.07,0.98,completed,,
User_4,3D Model,3,0.99,0.75,0.32,completed,,
User_6,Schematic Design,3,0.33,0.87,0.85,completed,,
User_1,Hardscape Plan,3,0.82,0.94,0.31,completed,,
User_19,Section Drawing,1,0.32,0.12,0.51,completed,,
User_4,Reflected Ceiling Plan,2,0.18,0.83,0.63,completed,,
User_8,Door & Window Schedule,1,0.72,0.78,0.23,completed,,
User_18,Permit Drawing,1,0.98,0.54,0.57,completed,,
User_17,Hardscape Plan,2,0.94,0.03,0.65,completed,,
User_20,Hardscape Plan,2,0.26,0.55,0.29,completed,,
User_6,Material Board,1,0.17,0.68,0.33,completed,,
User_4,General Specification,3,0.95,0.99,0.81,completed,,
User_15,Design Development,3,0.11,0.62,0.7,completed,,
User_4,Other,3,0.49,0.25,0.79,completed,,
User_3,3D Render,1,0.52,0.21,0.6,completed,,
User_16,Furniture Layout Plan,1,0.96,0.1,0.53,completed,,
User_14,Virtual Reality,2,0.89,0.27,0.25,completed,,
User_1,Zoning & Building Code Compliance,3,0.66,0.11,0.04,completed,,
User_19,3D Render,3,0.25,0.32,0.08,completed,,
User_5,Roof Plan,3,0.27,0.78,0.55,completed,,
User_19,Schematic Design,3,0.7,0.09,0.25,completed,,
User_4,Schematic Design,1,0.67,0.78,0.46,completed,,
User_5,Elevation Drawing,2,0.12,0.95,0.53,completed,,
User_14,Interior Layout Plan,3,0.99,0.89,0.9,completed,,
User_20,Lighting & Fixture Plan,2,0.49,0.71,0.58,completed,,
User_6,Partition Plan,1,0.46,0.09,0.75,completed,,
User_3,Reflected Ceiling Plan,3,0.84,0.94,0.49,completed,,
User_4,General Specification,1,0.2,0.83,0.45,completed,,
User_17,Permit Drawing,1,0.95,0.55,0.23,completed,,
User_3,Material Board,2,0.69,0.43,0.08,completed,,
User_9,Design Development,2,0.23,0.76,0.23,completed,,
User_1,Conceptual Design,2,0.31,0.96,0.38,completed,,
User_19,Interior Layout Plan,3,0.99,0.01,0.44,completed,,
User_16,Technical Specification,3,0.5,0.57,0.09,completed,,
User_3,Construction Document,2,0.92,0.24,0.68,completed,,
User_3,General Specification,3,0.88,0.36,0.25,completed,,
User_13,Door & Window Schedule,2,0.88,0.33,0.15,completed,,
User_18,3D Render,1,0.66,0.63,0.06,completed,,
User_1,Partition Plan,3,0.51,0.39,0.91,completed,,
User_5,Technical Specification,1,0.4,0.23,0.48,completed,,
User_12,Other,3,0.33,0.23,0.13,completed,,
User_6,Technical Specification,3,0.17,0.63,0.1,completed,,
User_1,Lighting & Fixture Plan,3,0.52,0.44,0.01,completed,,
User_4,Design Development,1,0.8,0.64,0.43,completed,,
User_7,Schematic Design,1,0.64,0.46,0.71,completed,,
User_17,Conceptual Design,3,0.41,0.8,0.8,completed,,
User_8,Conceptual Design,2,0.95,0.7,0.87,completed,,
User_19,Site Plan,2,0.06,0.96,0.68,completed,,
User_4,Section Drawing,2,0.86,0.7,0.96,completed,,
User_12,Elevation Drawing,2,0.66,0.41,0.35,completed,,
User_20,Technical Specification,2,1.0,0.88,0.62,completed,,
User_11,Material Board,2,0.63,0.55,0.26,completed,,
User_20,Lighting & Fixture Plan,1,0.53,0.74,0.03,completed,,
User_6,Floor Plan,1,0.6,0.11,0.97,completed,,
User_15,Material Board,2,0.92,0.51,0.34,completed,,
User_8,Floor Plan,3,0.74,0.04,0.15,completed,,
User_10,Schematic Design,1,0.59,0.03,0.81,completed,,
User_20,Design Development,1,0.46,0.93,0.76,completed,,
User_12,Landscape Plan,1,0.23,0.67,0.38,completed,,
User_18,Furniture Layout Plan,3,0.71,0.72,0.78,completed,,
User_9,Door & Window Schedule,1,0.07,0.09,0.11,completed,,
User_18,3D Model,3,0.79,0.12,0.62,completed,,
User_18,Reflected Ceiling Plan,1,0.93,0.49,0.72,completed,,
User_11,Door & Window Schedule,3,0.2,0.66,0.57,completed,,
User_5,Hardscape Plan,3,0.35,0.28,0.84,completed,,
User_10,Elevation Drawing,2,0.21,0.62,0.59,completed,,
User_15,Furniture Layout Plan,1,0.56,0.39,0.23,completed,,
User_19,Partition Plan,3,0.8,0.95,0.24,completed,,
User_16,Furniture Layout Plan,2,0.88,0.28,0.2,completed,,
User_12,Construction Document,1,0.87,0.45,0.29,completed,,
User_7,Partition Plan,2,0.75,0.74,0.63,completed,,
User_18,Design Development,2,0.65,0.96,0.13,completed,,
User_6,Conceptual Design,1,0.38,0.12,0.01,completed,,
User_9,Conceptual Design,1,0.81,0.38,0.99,completed,,
User_11,Roof Plan,3,0.08,0.03,0.46,completed,,
User_12,Permit Drawing,2,0.99,0.28,0.63,completed,,
User_17,Technical Specification,1,0.61,0.61,0.74,completed,,
User_2,Door & Window Schedule,3,0.09,0.11,0.14,completed,,
User_5,Conceptual Design,3,0.65,0.22,0.26,completed,,
User_1,Material Board,3,0.41,0.92,0.05,completed,,
User_16,Material Board,1,0.01,0.78,0.86,completed,,
User_19,Construction Document,2,0.87,0.96,0.56,completed,,
User_10,Site Plan,2,0.56,0.7,0.46,completed,,
User_11,Custom Millwork & Joinery Drawing,2,0.38,0.6,0.63,completed,,
User_18,Zoning & Building Code Compliance,2,0.57,0.04,0.47,completed,,
User_15,Virtual Reality,1,0.02,0.65,0.06,completed,,
User_6,Furniture Layout Plan,2,0.38,0.6,0.26,completed,,
User_13,Technical Specification,1,0.72,0.39,0.21,completed,,
User_11,Construction Document,2,0.54,0.42,0.52,completed,,
User_16,Construction Document,2,0.7,0.68,0.66,completed,,
User_20,Permit Drawing,2,0.05,0.89,0.84,completed,,
User_13,Site Plan,2,0.12,0.06,0.96,completed,,
User_9,Floor Plan,3,0.87,0.3,0.67,completed,,
User_8,Furniture Layout Plan,2,0.47,0.02,0.27,completed,,
User_7,Furniture Layout Plan,3,0.45,0.47,0.42,completed,,
User_20,3D Render,2,0.61,0.2,0.81,completed,,
User_8,Custom Millwork & Joinery Drawing,1,0.04,0.75,0.23,completed,,
User_12,Site Plan,1,0.11,0.3,0.07,completed,,
User_18,Floor Plan,1,0.08,0.91,0.62,completed,,
User_10,Material Board,3,0.35,0.71,0.09,completed,,
User_9,Elevation Drawing,1,0.39,0.62,0.95,completed,,
User_3,Construction Document,2,0.55,0.91,0.73,completed,,
User_1,Reflected Ceiling Plan,1,0.09,0.72,0.26,completed,,
User_6,Roof Plan,1,0.88,0.16,0.44,completed,,
User_1,Schematic Design,1,0.4,0.58,0.42,completed,,
User_16,Material Board,1,0.8,0.77,0.39,completed,,
User_12,Zoning & Building Code Compliance,2,0.6,0.31,0.55,completed,,
User_4,Furniture Layout Plan,1,0.81,0.8,0.87,completed,,
User_17,Finish Schedule,3,0.85,0.61,0.6,completed,,
User_14,Elevation Drawing,3,0.06,0.11,0.17,completed,,
User_14,Permit Drawing,1,0.7,0.42,0.63,completed,,
User_6,Technical Specification,2,0.06,0.19,0.13,completed,,
User_16,Finish Schedule,1,0.71,0.38,0.45,completed,,
User_2,Landscape Plan,2,0.57,0.92,0.67,completed,,
User_6,Finish Schedule,3,0.6,0.73,0.33,completed,,
User_13,Lighting & Fixture Plan,1,0.23,0.92,0.56,completed,,
User_17,Technical Specification,3,0.64,0.04,0.65,completed,,
User_4,Design Development,2,0.3,0.13,0.59,completed,,
User_10,Conceptual Design,2,0.02,0.07,0.54,completed,,
User_13,Furniture Layout Plan,3,0.53,0.73,0.38,completed,,
User_16,Finish Schedule,2,0.89,0.69,0.68,completed,,
User_19,Floor Plan,2,0.11,0.79,0.14,completed,,
User_20,Conceptual Design,1,0.73,0.52,0.24,completed,,
User_8,Floor Plan,1,0.17,0.05,0.08,completed,,
User_12,Hardscape Plan,1,0.76,0.99,0.18,completed,,
User_4,Interior Layout Plan,1,0.35,0.69,0.32,completed,,
User_8,Lighting & Fixture Plan,2,0.56,0.75,0.15,completed,,
User_6,Site Plan,3,0.91,0.27,0.77,completed,,
User_2,Roof Plan,1,0.21,0.91,0.55,completed,,
User_7,Roof Plan,2,0.26,0.68,0.84,completed,,
User_13,Zoning & Building Code Compliance,1,0.7,0.48,0.83,completed,,
User_7,Virtual Reality,3,1.0,0.32,0.87,completed,,
User_4,Material Board,1,0.97,0.54,0.07,completed,,
User_13,Technical Specification,3,0.47,0.85,0.43,completed,,
User_3,3D Model,1,0.8,0.74,0.77,completed,,
User_5,Virtual Reality,1,0.31,0.29,0.22,completed,,
User_10,Virtual Reality,1,0.04,0.77,0.72,completed,,
User_8,Finish Schedule,2,0.67,0.77,0.11,completed,,
User_7,Permit Drawing,1,0.42,0.84,0.62,completed,,
User_16,3D Render,3,0.9,0.86,0.72,completed,,
User_19,Landscape Plan,1,0.35,0.58,0.28,completed,,
User_19,Interior Layout Plan,3,0.16,0.19,0.86,completed,,
User_5,Furniture Layout Plan,1,0.79,0.44,0.63,completed,,
User_12,Permit Drawing,3,0.88,0.31,0.32,completed,,
User_2,Site Plan,2,0.25,0.17,0.07,completed,,
User_11,Furniture Layout Plan,3,0.98,0.79,0.12,completed,,
User_16,Interior Layout Plan,2,0.84,0.66,0.15,completed,,
User_3,Lighting & Fixture Plan,3,0.29,0.11,0.17,completed,,
User_9,Construction Document,1,0.54,0.47,0.31,completed,,
User_6,Zoning & Building Code Compliance,2,0.02,0.73,0.04,completed,,
User_13,Material Board,3,0.86,0.01,0.39,completed,,
User_15,Floor Plan,3,0.42,0.24,0.48,completed,,
User_17,3D Render,1,0.63,0.56,0.51,completed,,
User_8,Interior Layout Plan,3,0.21,0.25,0.46,completed,,
User_12,3D Model,2,0.11,0.37,0.25,completed,,
User_17,Material Board,1,0.85,0.56,0.27,completed,,
User_7,General Specification,1,0.76,0.87,0.57,completed,,
User_3,Landscape Plan,3,0.94,0.26,0.74,completed,,
User_3,Site Plan,2,0.12,0.97,0.33,completed,,
User_16,Schematic Design,3,0.44,0.84,0.87,completed,,
User_15,Finish Schedule,2,0.15,0.11,0.7,completed,,
User_6,Hardscape Plan,2,0.57,0.18,0.73,completed,,
User_5,Other,2,0.1,0.29,0.62,completed,,
User_9,Lighting & Fixture Plan,3,0.79,0.77,0.71,completed,,
User_8,Floor Plan,1,0.37,0.41,0.37,completed,,
User_1,Schematic Design,2,0.4,0.22,0.54,completed,,
User_16,Conceptual Design,3,0.63,0.18,0.64,completed,,
User_19,Custom Millwork & Joinery Drawing,1,0.23,0.2,0.05,completed,,
User_16,General Specification,2,0.98,0.28,0.1,completed,,
User_8,Lighting & Fixture Plan,3,0.34,0.43,0.3,completed,,
User_20,Material Board,1,0.05,0.96,0.51,completed,,
User_9,Hardscape Plan,2,0.1,0.25,0.07,completed,,
User_7,Hardscape Plan,3,0.99,0.24,0.59,completed,,
User_10,General Specification,1,0.66,0.18,0.16,completed,,
User_7,Roof Plan,3,0.98,0.51,0.7,completed,,
User_20,Landscape Plan,1,0.58,0.29,0.46,completed,,
User_4,Door & Window Schedule,1,0.1,0.5,0.13,completed,,
User_14,Hardscape Plan,1,0.75,0.4,0.3,completed,,
User_17,Reflected Ceiling Plan,3,0.99,0.16,0.11,completed,,
User_15,3D Render,1,0.36,0.57,0.67,completed,,
User_11,Door & Window Schedule,2,0.58,0.68,0.11,completed,,
User_12,Permit Drawing,1,0.62,0.55,0.17,completed,,
User_12,3D Model,1,0.93,0.32,0.37,completed,,
User_20,Site Plan,1,0.52,0.56,0.12,completed,,
User_9,Site Plan,3,0.15,0.96,0.49,completed,,
User_3,Floor Plan,3,0.21,0.98,0.76,completed,,
User_3,Technical Specification,1,0.02,0.08,0.78,completed,,
User_15,Partition Plan,1,0.58,0.74,0.61,completed,,
User_14,Zoning & Building Code Compliance,1,0.98,0.27,0.39,completed,,
User_9,Floor Plan,3,0.24,0.95,0.93,completed,,
User_15,3D Model,3,0.76,0.32,0.7,completed,,
User_5,3D Model,1,0.6,0.44,0.79,completed,,
User_17,3D Render,3,0.66,0.25,0.33,completed,,
User_9,Site Plan,3,0.93,0.2,0.07,completed,,
User_9,Interior Layout Plan,2,0.97,0.88,0.55,completed,,
User_12,Design Development,3,0.06,0.14,0.66,completed,,
User_1,Door & Window Schedule,2,0.34,0.44,0.13,completed,,
User_10,3D Model,1,0.8,0.4,0.15,completed,,
User_7,Material Board,3,0.13,0.75,0.59,completed,,
User_7,Section Drawing,2,0.9,0.72,0.06,completed,,
User_8,Schematic Design,3,0.94,0.27,0.77,completed,,
User_10,Zoning & Building Code Compliance,2,0.57,0.56,0.54,completed,,
User_9,Roof Plan,3,0.66,0.72,0.56,completed,,
User_6,Design Development,3,0.13,0.63,0.72,completed,,
User_10,Interior Layout Plan,1,0.25,0.37,0.01,completed,,
User_1,Reflected Ceiling Plan,1,0.92,0.48,0.69,completed,,
User_2,Custom Millwork & Joinery Drawing,1,0.55,0.48,0.85,completed,,
User_20,Other,3,0.35,0.04,0.49,completed,,
User_8,Custom Millwork & Joinery Drawing,2,0.08,0.22,0.63,completed,,
User_9,Finish Schedule,2,0.93,0.11,0.01,completed,,
User_16,Reflected Ceiling Plan,1,0.7,0.5,0.83,completed,,
User_6,Finish Schedule,1,0.48,0.1,0.21,completed,,
User_20,Custom Millwork & Joinery Drawing,1,0.3,0.68,0.91,completed,,
User_19,Schematic Design,2,0.86,0.93,0.41,completed,,
User_8,Elevation Drawing,1,0.01,0.33,0.35,completed,,
User_18,Door & Window Schedule,3,0.65,0.17,0.76,completed,,
User_2,Section Drawing,3,0.02,0.52,0.8,completed,,
User_18,Other,1,0.27,0.19,0.1,completed,,
User_16,Design Development,1,0.3,0.94,0.03,completed,,
User_2,Reflected Ceiling Plan,3,0.6,0.42,0.08,completed,,
User_11,Custom Millwork & Joinery Drawing,2,0.82,0.13,0.56,completed,,
User_10,3D Render,3,0.7,0.83,0.75,completed,,
User_17,Construction Document,2,0.54,0.92,0.95,completed,,
User_12,Conceptual Design,2,0.42,0.15,0.25,completed,,
User_18,General Specification,2,0.15,0.29,0.96,completed,,
User_17,Finish Schedule,3,1.0,0.78,0.55,completed,,
User_1,Material Board,3,0.5,0.23,0.91,completed,,
User_17,Hardscape Plan,1,0.65,0.66,0.91,completed,,
User_12,Material Board,2,0.59,0.83,0.12,completed,,
User_12,Furniture Layout Plan,1,0.54,0.15,0.23,completed,,
User_1,Custom Millwork & Joinery Drawing,3,0.58,0.56,0.02,completed,,
User_15,Finish Schedule,1,0.44,0.03,0.35,completed,,
User_17,General Specification,1,0.02,0.15,0.21,completed,,
User_17,Virtual Reality,1,0.81,0.5,0.76,completed,,
User_7,Reflected Ceiling Plan,2,0.17,0.41,0.02,completed,,
User_15,Schematic Design,2,0.86,0.89,0.17,completed,,
User_12,Section Drawing,3,0.69,0.55,0.06,completed,,
User_19,Construction Document,1,0.33,0.14,0.21,completed,,
User_15,Permit Drawing,3,0.45,0.29,0.86,completed,,
User_11,Technical Specification,2,0.3,0.74,0.38,completed,,
User_7,Elevation Drawing,1,0.5,0.57,0.56,completed,,
User_17,Floor Plan,2,0.68,0.03,0.41,completed,,
User_1,3D Model,3,0.5,0.72,0.63,completed,,
User_1,Elevation Drawing,3,0.2,0.13,0.49,completed,,
User_9,3D Model,3,0.04,0.94,0.24,completed,,
User_4,Reflected Ceiling Plan,3,0.11,0.4,0.83,completed,,
User_18,Elevation Drawing,2,0.39,0.43,0.98,completed,,
User_16,General Specification,3,0.17,0.59,0.19,completed,,
User_15,Floor Plan,2,0.59,0.24,0.78,completed,,
User_6,Permit Drawing,3,0.87,0.47,0.4,completed,,
User_18,Design Development,3,0.77,0.74,0.84,completed,,
User_6,Conceptual Design,3,0.72,0.26,0.29,completed,,
User_6,Material Board,1,0.35,0.35,0.45,completed,,
User_16,Floor Plan,3,0.38,0.61,0.39,completed,,
User_2,Elevation Drawing,3,0.35,0.97,0.9,completed,,
User_6,3D Model,1,0.38,0.8,0.86,completed,,
User_18,Roof Plan,1,0.91,0.29,0.16,completed,,
User_20,Floor Plan,1,0.49,0.86,0.15,completed,,
User_10,Technical Specification,2,0.66,0.39,0.38,completed,,
User_3,Material Board,2,0.35,0.74,0.92,completed,,
User_10,Finish Schedule,3,0.81,0.85,0.88,completed,,
User_8,Reflected Ceiling Plan,1,0.84,0.21,0.3,completed,,
User_13,Conceptual Design,2,0.65,0.33,0.13,completed,,
User_12,Technical Specification,2,0.98,0.69,0.35,completed,,
User_20,Zoning & Building Code Compliance,1,0.45,0.27,0.06,completed,,
User_7,Finish Schedule,2,0.05,0.03,0.04,completed,,
User_1,Roof Plan,2,0.04,0.3,0.53,completed,,
User_11,Permit Drawing,3,0.75,0.31,0.09,completed,,
User_19,Partition Plan,1,0.68,0.49,0.97,completed,,
User_19,Floor Plan,1,0.67,0.58,0.64,completed,,
User_4,Other,1,0.29,0.86,0.51,completed,,
User_7,Material Board,2,0.05,0.63,0.23,completed,,
User_5,Zoning & Building Code Compliance,1,0.41,0.47,0.73,completed,,
User_15,Lighting & Fixture Plan,1,0.93,0.66,0.95,completed,,
User_10,Technical Specification,3,0.97,0.27,0.56,completed,,
User_6,Site Plan,1,0.69,0.93,0.33,completed,,
User_20,Partition Plan,2,0.08,0.65,0.42,completed,,
User_5,Elevation Drawing,2,0.13,0.42,0.44,completed,,
User_4,3D Render,1,0.54,0.12,0.06,completed,,
User_15,Furniture Layout Plan,3,0.56,0.34,0.77,completed,,
User_13,Hardscape Plan,3,0.46,0.86,0.49,completed,,
User_7,Landscape Plan,2,0.28,0.27,0.05,completed,,
User_18,Floor Plan,1,0.86,0.65,0.19,completed,,
User_15,Landscape Plan,2,0.95,0.9,0.3,completed,,
User_17,Landscape Plan,1,0.48,0.17,0.71,completed,,
User_6,3D Model,3,0.9,0.67,0.93,completed,,
User_18,3D Model,2,0.17,0.84,0.53,completed,,
User_7,General Specification,3,0.08,0.2,0.24,completed,,
User_3,Finish Schedule,2,0.68,0.25,0.11,completed,,
User_13,Elevation Drawing,2,0.04,0.14,0.28,completed,,
User_8,Material Board,1,0.59,0.14,0.85,completed,,
User_4,Custom Millwork & Joinery Drawing,1,0.45,0.71,0.76,completed,,
User_18,Elevation Drawing,1,0.8,0.14,0.57,completed,,
