user_id,name,quality_score,task_id,title,description,type_of_task,priority_level,due_date
c83f077e-1663-46f2-9455-3b4e60e7434a,User 2,0.76,586d5aa1-cb5a-4b87-b6cd-4e207cd5e2ec,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Interior Layout Plan,Neutral,2025-04-10
463803b1-48ef-46c7-9bf6-1b130a6bb642,User 7,0.69,0e7ca0ca-ede0-4e33-9aa1-64cdb9a8c3c5,Structural Coordination,Coordinate with the structural engineer for beam placements.,Zoning & Building Code Compliance,High,2025-04-17
8cc5cc70-04f2-43f4-9bb1-a41fb829f559,User 3,0.74,f37bf78d-51ae-4e78-8245-feba4aabee60,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Elevation Drawing,High,2025-04-27
a7eb03ad-6f99-48a0-b37a-94371e8fb27c,User 4,0.74,b989ba64-9713-44a7-b0e6-4224fa3875b6,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Interior Layout Plan,High,2025-04-13
879f8888-4e4d-48e6-ac7f-67c6f066c5ad,User 5,0.69,cf26f29f-cb3d-4192-ba4c-987c5a56e3a2,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Technical Specification,Neutral,2025-04-26
879f8888-4e4d-48e6-ac7f-67c6f066c5ad,User 5,0.76,3a1b013d-abf4-4838-b6b3-ec6095e6d4a7,Structural Coordination,Coordinate with the structural engineer for beam placements.,Finish Schedule,Low,2025-04-20
aca21bbd-6525-46d8-b7eb-4d67da336104,User 6,0.79,9c48346c-6c20-4640-9482-8db7eff92356,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Technical Specification,Low,2025-04-08
aca21bbd-6525-46d8-b7eb-4d67da336104,User 6,0.9,22d11706-3dc4-45d7-8136-cfd1a9b4dfe4,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Virtual Reality,Neutral,2025-04-09
b2e79f59-e1fe-4a08-87dc-f5b4aa649b5c,User 10,0.65,3dbbf938-9bda-49fb-9893-fd76b92fa23b,Structural Coordination,Coordinate with the structural engineer for beam placements.,Partition Plan,Low,2025-04-27
8cc5cc70-04f2-43f4-9bb1-a41fb829f559,User 3,0.72,a8d35902-ce49-4066-8570-75d85811657c,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Virtual Reality,Low,2025-04-14
fd562db9-6ee1-49c7-906c-b697b6cf51ec,User 1,0.87,08fca37b-9ee6-4a65-962e-ee8b8747957a,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Construction Document,High,2025-04-26
8cc5cc70-04f2-43f4-9bb1-a41fb829f559,User 3,0.87,da391af4-5b97-40b5-be96-815242566b59,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Interior Layout Plan,High,2025-04-23
f22b7a85-c4a4-4880-95a1-53e8b677aa91,User 9,0.7,064ea4b3-434b-4c9e-9f03-ec491dddc930,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Reflected Ceiling Plan,Low,2025-04-16
879f8888-4e4d-48e6-ac7f-67c6f066c5ad,User 5,0.65,6c22a82e-9245-4e67-acac-4da0054a91b0,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Lighting & Fixture Plan,Low,2025-04-07
879f8888-4e4d-48e6-ac7f-67c6f066c5ad,User 5,0.7,a21d8230-c315-4c52-b130-f928dec1d239,Structural Coordination,Coordinate with the structural engineer for beam placements.,Site Plan,High,2025-04-21
879f8888-4e4d-48e6-ac7f-67c6f066c5ad,User 5,0.68,f05ac4dd-3eca-4fcc-b1e3-2232e761adcd,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Conceptual Design,Neutral,2025-04-29
463803b1-48ef-46c7-9bf6-1b130a6bb642,User 7,0.73,17802d57-edb2-44c7-96d2-507975822fb9,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Permit Drawing,High,2025-04-23
fd562db9-6ee1-49c7-906c-b697b6cf51ec,User 1,0.61,a84c0fa5-28c9-4781-952c-07a833452fa0,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Material Board,Low,2025-04-14
aca21bbd-6525-46d8-b7eb-4d67da336104,User 6,0.78,6642c493-f767-43e4-8d26-b3aa5c6831f2,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Technical Specification,High,2025-04-23
8cc5cc70-04f2-43f4-9bb1-a41fb829f559,User 3,0.83,fa30338a-09e5-4451-974b-03269431d2b5,Technical Specifications,Compile technical specifications for the construction phase.,Landscape Plan,High,2025-04-14
72f9b1b7-bc01-4ea7-9ad5-27bea615b841,User 8,0.99,0934baa2-887d-48b2-a5ca-850495a4a053,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,General Specification,High,2025-04-11
8cc5cc70-04f2-43f4-9bb1-a41fb829f559,User 3,0.94,0b383ca2-2d18-431c-9df1-fe81674015bc,Construction Documentation,Compile detailed construction drawings for city permit approval.,Floor Plan,Neutral,2025-04-12
463803b1-48ef-46c7-9bf6-1b130a6bb642,User 7,0.64,24bbdbaf-a1a6-44ed-a472-e68d7a73ee1d,Structural Coordination,Coordinate with the structural engineer for beam placements.,Interior Layout Plan,Neutral,2025-05-01
8cc5cc70-04f2-43f4-9bb1-a41fb829f559,User 3,0.85,85c1a470-08cf-49e3-b15d-fadd4a107695,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Door & Window Schedule,Neutral,2025-04-09
f22b7a85-c4a4-4880-95a1-53e8b677aa91,User 9,0.95,3e4fe099-53e0-4ea7-b8dc-2affd2973eee,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Virtual Reality,High,2025-04-16
879f8888-4e4d-48e6-ac7f-67c6f066c5ad,User 5,0.93,dca69f10-ef00-4da9-ad0a-c9bd44e0e9f2,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Schematic Design,High,2025-05-02
c83f077e-1663-46f2-9455-3b4e60e7434a,User 2,0.76,c0a0fcde-f56d-42bf-957e-f70fbcf0e335,Technical Specifications,Compile technical specifications for the construction phase.,Hardscape Plan,High,2025-04-06
a7eb03ad-6f99-48a0-b37a-94371e8fb27c,User 4,0.9,ce4174b8-f880-4cd5-90dc-dd9e73197c73,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Schematic Design,Low,2025-04-11
c83f077e-1663-46f2-9455-3b4e60e7434a,User 2,0.92,3cd773b3-18e8-47b9-9a16-b42fe37a3821,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Site Plan,Low,2025-04-19
fd562db9-6ee1-49c7-906c-b697b6cf51ec,User 1,0.85,185fb460-257f-4dbd-b69a-9cde6738afa9,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,3D Model,Low,2025-04-08
fd562db9-6ee1-49c7-906c-b697b6cf51ec,User 1,0.82,1415a69f-56e4-4442-9498-cdb3ba49db59,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Elevation Drawing,High,2025-04-21
463803b1-48ef-46c7-9bf6-1b130a6bb642,User 7,0.95,0fd8b8d2-99ee-494a-b8c1-3ec6d859d04f,Construction Documentation,Compile detailed construction drawings for city permit approval.,Custom Millwork & Joinery Drawing,Low,2025-04-14
463803b1-48ef-46c7-9bf6-1b130a6bb642,User 7,0.84,7ee4386b-e0a2-44f6-8be1-b46872a58147,Construction Documentation,Compile detailed construction drawings for city permit approval.,Custom Millwork & Joinery Drawing,Low,2025-04-26
879f8888-4e4d-48e6-ac7f-67c6f066c5ad,User 5,0.83,cafc048f-ede1-416a-a06c-8b7a73cd6a91,Construction Documentation,Compile detailed construction drawings for city permit approval.,General Specification,High,2025-04-09
fd562db9-6ee1-49c7-906c-b697b6cf51ec,User 1,0.92,62ca5915-eb36-441e-82ab-0ec712bcd51e,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Conceptual Design,Low,2025-04-04
f22b7a85-c4a4-4880-95a1-53e8b677aa91,User 9,0.66,e8a1bf01-af7c-494f-9bb9-44e51b168b7b,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Permit Drawing,Neutral,2025-04-17
879f8888-4e4d-48e6-ac7f-67c6f066c5ad,User 5,0.88,ee65c320-9f4f-4491-a017-3afb6a0b87ad,Construction Documentation,Compile detailed construction drawings for city permit approval.,Section Drawing,Neutral,2025-04-19
c83f077e-1663-46f2-9455-3b4e60e7434a,User 2,0.61,74c25d84-11b8-4a85-be19-3a8f6e1ce583,3D Model Development,Create a detailed 3D model for the client’s new residential project.,3D Render,Neutral,2025-04-11
fd562db9-6ee1-49c7-906c-b697b6cf51ec,User 1,0.66,d497a27e-2104-4ad4-93e6-bfa12c8b356f,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Others,Neutral,2025-04-09
c83f077e-1663-46f2-9455-3b4e60e7434a,User 2,0.87,ebc10ae7-6784-4954-bf25-1c5831b21805,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Hardscape Plan,Neutral,2025-04-10
8cc5cc70-04f2-43f4-9bb1-a41fb829f559,User 3,0.62,efcc8eb5-1b4f-447d-9ff5-a0438e5aad5f,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Lighting & Fixture Plan,Low,2025-04-11
463803b1-48ef-46c7-9bf6-1b130a6bb642,User 7,0.92,c7da0eba-cab3-4e55-9002-72ddf000c4fc,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Floor Plan,High,2025-05-02
879f8888-4e4d-48e6-ac7f-67c6f066c5ad,User 5,0.68,22cd35a4-0eb8-422c-9b11-96c25e0ebe8b,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Floor Plan,Low,2025-04-28
a7eb03ad-6f99-48a0-b37a-94371e8fb27c,User 4,0.88,259ba443-72e1-49ec-a30f-2068a9813f70,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Elevation Drawing,Neutral,2025-04-06
a7eb03ad-6f99-48a0-b37a-94371e8fb27c,User 4,0.73,2ad8cf9e-3ca0-4e92-a80b-3817d2c12b78,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Finish Schedule,Low,2025-04-08
8cc5cc70-04f2-43f4-9bb1-a41fb829f559,User 3,0.91,0d5e96ac-1304-4f2c-8649-b2aaa4113fb8,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Virtual Reality,High,2025-05-01
b2e79f59-e1fe-4a08-87dc-f5b4aa649b5c,User 10,0.7,8e164e03-707b-4395-a66d-660fbee16e9d,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Site Plan,Neutral,2025-04-27
879f8888-4e4d-48e6-ac7f-67c6f066c5ad,User 5,0.74,d388f4de-c35e-40a5-949e-6933ffdd7c6a,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Section Drawing,Low,2025-04-19
8cc5cc70-04f2-43f4-9bb1-a41fb829f559,User 3,0.98,94f254cc-8567-480a-94ca-6473ad303588,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Permit Drawing,Neutral,2025-04-20
b2e79f59-e1fe-4a08-87dc-f5b4aa649b5c,User 10,0.64,b757b96b-00b4-45d0-81d8-4ac6461059c6,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,General Specification,Low,2025-04-28
463803b1-48ef-46c7-9bf6-1b130a6bb642,User 7,0.74,98c99372-cf2f-4d21-ad08-bfe4741118c4,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Door & Window Schedule,Low,2025-04-26
b2e79f59-e1fe-4a08-87dc-f5b4aa649b5c,User 10,0.69,ea31edbc-ef3d-43c3-822c-d27b63fc7f36,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,3D Model,Neutral,2025-04-19
f22b7a85-c4a4-4880-95a1-53e8b677aa91,User 9,0.76,15a177e3-3b1d-4116-957d-5253c0dacc96,Construction Documentation,Compile detailed construction drawings for city permit approval.,Interior Layout Plan,Low,2025-04-15
fd562db9-6ee1-49c7-906c-b697b6cf51ec,User 1,0.69,aad4bb5b-61da-4a6b-bc36-19fe2fc393f4,Structural Coordination,Coordinate with the structural engineer for beam placements.,Landscape Plan,Low,2025-04-28
b2e79f59-e1fe-4a08-87dc-f5b4aa649b5c,User 10,0.71,268916e8-4a33-4940-8d38-fd5ecf5b86b1,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Partition Plan,Low,2025-04-13
879f8888-4e4d-48e6-ac7f-67c6f066c5ad,User 5,0.84,0f23bcc3-796d-4db1-893c-648940dde4dc,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Partition Plan,High,2025-04-19
c83f077e-1663-46f2-9455-3b4e60e7434a,User 2,0.82,fd7b53d1-0eb3-411f-8194-19b26788f8d8,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Schematic Design,High,2025-04-10
b2e79f59-e1fe-4a08-87dc-f5b4aa649b5c,User 10,0.72,621dd129-d199-44e2-ab76-44c3f1904994,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Others,Low,2025-04-30
fd562db9-6ee1-49c7-906c-b697b6cf51ec,User 1,0.83,47cf40ad-d4b5-4f29-bb8e-b9577d92d9cc,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Others,Neutral,2025-05-03
a7eb03ad-6f99-48a0-b37a-94371e8fb27c,User 4,0.86,8c95211c-385f-413c-93af-1363ddbb7c55,Construction Documentation,Compile detailed construction drawings for city permit approval.,Virtual Reality,High,2025-04-08
879f8888-4e4d-48e6-ac7f-67c6f066c5ad,User 5,0.68,b7ac6b6a-5f74-488a-a307-41564fb1ed83,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Site Plan,Neutral,2025-04-06
b2e79f59-e1fe-4a08-87dc-f5b4aa649b5c,User 10,0.86,81817297-d83a-4150-93e1-ba728ebddcd2,Construction Documentation,Compile detailed construction drawings for city permit approval.,Site Plan,High,2025-05-01
a7eb03ad-6f99-48a0-b37a-94371e8fb27c,User 4,0.77,4499797a-da60-434e-9de3-b2d15a132f9c,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Schematic Design,Low,2025-04-27
aca21bbd-6525-46d8-b7eb-4d67da336104,User 6,0.96,d7fceda6-518c-48c5-bfd8-461376334092,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Permit Drawing,Low,2025-05-01
a7eb03ad-6f99-48a0-b37a-94371e8fb27c,User 4,0.76,8a55ff81-0a34-4117-8cb4-e51f7c12e75c,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Reflected Ceiling Plan,High,2025-04-22
f22b7a85-c4a4-4880-95a1-53e8b677aa91,User 9,0.65,e95c7f20-d46e-45ed-b6c8-ab8d6e4f9099,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,3D Render,Low,2025-04-19
8cc5cc70-04f2-43f4-9bb1-a41fb829f559,User 3,0.89,1e5b442e-50d0-434e-8647-816b1a150928,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Design Development,Low,2025-04-15
a7eb03ad-6f99-48a0-b37a-94371e8fb27c,User 4,0.83,5b0cb3bb-dc6c-4244-b4e2-13f660dd90c9,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Permit Drawing,Low,2025-04-29
b2e79f59-e1fe-4a08-87dc-f5b4aa649b5c,User 10,0.77,7868dc34-c7c1-4183-b036-bb4cbb43a566,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,General Specification,Low,2025-04-25
aca21bbd-6525-46d8-b7eb-4d67da336104,User 6,0.76,8ff9c5c8-160e-4bf7-a909-47c94a64c942,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Others,High,2025-04-09
8cc5cc70-04f2-43f4-9bb1-a41fb829f559,User 3,0.63,0e7cace3-b9d5-4844-8236-cb049aed7cf9,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Interior Layout Plan,High,2025-05-02
b2e79f59-e1fe-4a08-87dc-f5b4aa649b5c,User 10,0.71,a94b3139-4a8f-4984-9c1d-4001594b3075,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Construction Document,Low,2025-04-11
8cc5cc70-04f2-43f4-9bb1-a41fb829f559,User 3,0.77,6e8ecdcd-aa4a-4bc2-a0f2-7db269828bd5,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Door & Window Schedule,Neutral,2025-04-20
c83f077e-1663-46f2-9455-3b4e60e7434a,User 2,0.91,42943693-299a-4c13-9cbf-26ec1b3f99df,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Zoning & Building Code Compliance,Neutral,2025-04-09
8cc5cc70-04f2-43f4-9bb1-a41fb829f559,User 3,0.62,2a503dff-118f-44b7-91bf-3ac99b48bd2c,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Landscape Plan,Neutral,2025-04-20
72f9b1b7-bc01-4ea7-9ad5-27bea615b841,User 8,0.79,f4671b4d-d1ab-40cc-890e-16c087e5563e,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Permit Drawing,High,2025-05-02
879f8888-4e4d-48e6-ac7f-67c6f066c5ad,User 5,0.62,6295a63c-d361-4d8a-b342-21bd442a4611,Construction Documentation,Compile detailed construction drawings for city permit approval.,Schematic Design,High,2025-04-24
f22b7a85-c4a4-4880-95a1-53e8b677aa91,User 9,0.89,71eabe6c-1c79-4ca0-ba03-3230ede94614,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Material Board,Low,2025-04-05
c83f077e-1663-46f2-9455-3b4e60e7434a,User 2,0.77,39efbb4d-5b14-49cc-9bb8-12eb8eb7557c,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Elevation Drawing,High,2025-04-29
c83f077e-1663-46f2-9455-3b4e60e7434a,User 2,0.99,3324b2c5-3ce8-4473-acff-a8642cb68aca,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Permit Drawing,Neutral,2025-04-26
a7eb03ad-6f99-48a0-b37a-94371e8fb27c,User 4,1.0,9ad57e02-31ca-45c9-804d-6e6e80ce57e9,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Permit Drawing,Low,2025-04-13
72f9b1b7-bc01-4ea7-9ad5-27bea615b841,User 8,0.81,4aa903c9-8d47-4674-9ba1-41bd9cd705d5,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Zoning & Building Code Compliance,High,2025-04-13
c83f077e-1663-46f2-9455-3b4e60e7434a,User 2,0.69,1e7622e0-d022-409f-849d-acacc9911ee0,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Section Drawing,Neutral,2025-04-06
463803b1-48ef-46c7-9bf6-1b130a6bb642,User 7,0.68,82f5d401-7f83-43c9-bf1a-9652b3de6ad2,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Schematic Design,Low,2025-05-03
72f9b1b7-bc01-4ea7-9ad5-27bea615b841,User 8,0.85,c8d22686-5da0-4a1f-a168-06a5faa756f9,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Others,High,2025-04-12
879f8888-4e4d-48e6-ac7f-67c6f066c5ad,User 5,0.95,bba78900-9517-43be-8351-56cbd0df8810,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Virtual Reality,Low,2025-05-02
8cc5cc70-04f2-43f4-9bb1-a41fb829f559,User 3,0.87,7b4e9b67-fb04-4e7f-921e-aa1818112479,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Roof Plan,High,2025-05-01
f22b7a85-c4a4-4880-95a1-53e8b677aa91,User 9,0.87,de66d8a2-596d-4281-93bd-bde8aecc8111,Structural Coordination,Coordinate with the structural engineer for beam placements.,Technical Specification,Low,2025-04-12
f22b7a85-c4a4-4880-95a1-53e8b677aa91,User 9,0.98,9f333e4b-0f28-4ed4-8915-de2f4453724b,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Construction Document,Neutral,2025-04-18
463803b1-48ef-46c7-9bf6-1b130a6bb642,User 7,0.89,c4697b0a-93da-4868-8a4c-af81f8ed605c,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Material Board,Neutral,2025-04-14
c83f077e-1663-46f2-9455-3b4e60e7434a,User 2,0.76,539140ab-7ae6-4b93-9422-17f3af0692af,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Zoning & Building Code Compliance,Low,2025-04-20
aca21bbd-6525-46d8-b7eb-4d67da336104,User 6,0.78,e60413fa-18e9-48c7-8505-9fa65ffa6bd7,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Zoning & Building Code Compliance,Neutral,2025-04-18
a7eb03ad-6f99-48a0-b37a-94371e8fb27c,User 4,0.84,fd0581b2-baf3-44b2-9814-5bed38666837,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,General Specification,Neutral,2025-04-12
879f8888-4e4d-48e6-ac7f-67c6f066c5ad,User 5,0.85,76a2f42c-c4e3-4b4d-80b1-38bc0efe322e,Technical Specifications,Compile technical specifications for the construction phase.,Elevation Drawing,High,2025-04-16
a7eb03ad-6f99-48a0-b37a-94371e8fb27c,User 4,0.7,ad14d558-87d8-4eff-a6a4-83935490c3d9,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Site Plan,High,2025-05-02
463803b1-48ef-46c7-9bf6-1b130a6bb642,User 7,0.96,4199d1e1-0e74-4ccf-93e9-c84a6f489fa3,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Reflected Ceiling Plan,High,2025-04-14
8cc5cc70-04f2-43f4-9bb1-a41fb829f559,User 3,0.89,f519751d-a9a0-4796-9d1d-5ee2d6dab5ba,Technical Specifications,Compile technical specifications for the construction phase.,Finish Schedule,High,2025-04-04
c83f077e-1663-46f2-9455-3b4e60e7434a,User 2,0.77,e95b0dfb-0e59-4058-91b4-3c00f0bc1824,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Permit Drawing,High,2025-04-30
879f8888-4e4d-48e6-ac7f-67c6f066c5ad,User 5,0.79,db2b9142-c071-4500-9589-4f3b191de34a,Structural Coordination,Coordinate with the structural engineer for beam placements.,Site Plan,Neutral,2025-04-29
aca21bbd-6525-46d8-b7eb-4d67da336104,User 6,0.95,cdb0a6d5-2c78-4e66-b476-8968e1c2ddc3,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Design Development,Neutral,2025-04-23
f22b7a85-c4a4-4880-95a1-53e8b677aa91,User 9,0.98,99bc155c-7d73-424f-909d-38a4c8ba0c0a,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Technical Specification,Neutral,2025-04-11
aca21bbd-6525-46d8-b7eb-4d67da336104,User 6,0.77,719b0814-eb11-438f-8f2a-165ff2351949,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,3D Render,High,2025-04-09
b2e79f59-e1fe-4a08-87dc-f5b4aa649b5c,User 10,0.71,df8c2299-5a9e-43b7-8fef-012ea16f2641,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Partition Plan,Low,2025-04-13
a7eb03ad-6f99-48a0-b37a-94371e8fb27c,User 4,0.64,ea1dcbde-d961-4487-8d6f-dcadb2610c9d,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Door & Window Schedule,Neutral,2025-04-27
b2e79f59-e1fe-4a08-87dc-f5b4aa649b5c,User 10,0.72,f7319f17-7915-4030-a01f-8a65285a64f4,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Roof Plan,High,2025-04-10
879f8888-4e4d-48e6-ac7f-67c6f066c5ad,User 5,0.82,0d168f9d-20a9-4567-ad33-5a0dfa886683,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Elevation Drawing,High,2025-05-02
