task_id,title,description,type_of_task,priority_level,due_date
d3a01483-c89e-4e11-9aa7-0466feaeac67,Technical Specifications,Compile technical specifications for the construction phase.,Others,Neutral,2025-04-20
d4835e06-5668-4525-948c-65902425c2e7,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Hardscape Plan,High,2025-04-22
1e8e9c0a-c54c-4983-bff9-aa20f4fd18e5,Structural Coordination,Coordinate with the structural engineer for beam placements.,General Specification,High,2025-05-02
625856b9-566f-44a2-a594-95069e5b770b,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Material Board,High,2025-04-13
98a2cd6a-6099-4426-a2b8-fae201f2be2f,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Material Board,Neutral,2025-04-28
ef7397c4-90d6-4de0-ab20-aceb010a8672,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Lighting & Fixture Plan,High,2025-04-19
339c7dbc-7152-4c24-aab1-8aae125b6307,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Section Drawing,Low,2025-04-09
a35fedc8-6505-4977-a143-8e75eb33b2a3,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Lighting & Fixture Plan,Low,2025-04-11
b822d1f7-800a-4bf1-9adb-5ff182d6ef98,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Site Plan,Neutral,2025-04-21
fb5c5f11-7823-4680-a723-8db86ed6cb8c,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Technical Specification,Low,2025-04-23
ac38a40c-9e5e-407e-9aae-5a0d80dd543c,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,3D Model,Neutral,2025-04-24
edf995c2-74bc-4b6e-bcdc-e5e9646cff17,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Reflected Ceiling Plan,Low,2025-04-04
a1c61aad-ede1-458a-9f31-63f890a1027f,Technical Specifications,Compile technical specifications for the construction phase.,Conceptual Design,High,2025-04-04
e5ea373e-3efb-4378-9c71-753416649438,Structural Coordination,Coordinate with the structural engineer for beam placements.,Finish Schedule,Neutral,2025-04-29
3552513c-0e87-43ea-9d37-c6af3fec7cd3,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,General Specification,Neutral,2025-04-15
f03be926-620d-45d9-a9d8-e5e2f7c28d0f,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Reflected Ceiling Plan,High,2025-04-18
ef7ebbf3-44a7-47a2-8497-819ec94f18c3,Technical Specifications,Compile technical specifications for the construction phase.,Schematic Design,Neutral,2025-04-08
7103186b-bc91-4bfc-abd9-b0c986cc3cd5,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,3D Render,High,2025-04-10
3bd45323-ca61-4d76-a9b7-e3c0471d1404,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,3D Model,Low,2025-04-23
c9985516-ed1c-4982-af59-13ada771cc25,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Hardscape Plan,Neutral,2025-04-13
6931ff61-8fb4-4dee-9cd8-39b261e80e55,Construction Documentation,Compile detailed construction drawings for city permit approval.,Hardscape Plan,Low,2025-04-05
d5b3e08b-b59e-43cc-b389-7e64999f054c,Technical Specifications,Compile technical specifications for the construction phase.,3D Render,Neutral,2025-04-09
b2678c26-add8-4211-bd22-b29c73cd7a2b,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Furniture Layout Plan,Neutral,2025-04-24
05db84cd-7616-4050-b3f3-a1f472e5e7b7,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Landscape Plan,High,2025-05-01
e2ed9dde-3c88-4d9f-a300-4ed4f1851a48,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Schematic Design,Neutral,2025-04-23
95940815-c4f9-496d-9833-50cb479e556d,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Roof Plan,High,2025-04-08
3baa429e-134b-4a3c-9ac2-a507bf6da505,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Reflected Ceiling Plan,Low,2025-04-27
a6f75af7-2f7d-4051-a8c4-30540e574bde,Structural Coordination,Coordinate with the structural engineer for beam placements.,Material Board,Low,2025-04-22
0fdf2028-1861-49b7-a53e-452440b2d1aa,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Others,Low,2025-04-19
1106f301-cf57-4240-9595-b7f98215d76b,Structural Coordination,Coordinate with the structural engineer for beam placements.,Conceptual Design,Neutral,2025-04-06
c83af860-af07-46e4-93a5-2f81b1478010,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Custom Millwork & Joinery Drawing,High,2025-04-28
2bcbc14c-6968-406c-a15c-0fa1c0bbbc07,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Elevation Drawing,Low,2025-04-04
731510b9-b764-4850-80dc-0bd20aef04fd,Construction Documentation,Compile detailed construction drawings for city permit approval.,Site Plan,Low,2025-04-11
dfc3134f-759c-4af8-934a-5787fd6cc84c,Structural Coordination,Coordinate with the structural engineer for beam placements.,Zoning & Building Code Compliance,Low,2025-05-02
00fb3a22-e82b-43df-a3d7-815dbb48748e,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Section Drawing,High,2025-04-21
16bc2574-2c2e-4ae2-87b2-a987edb45bdf,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Landscape Plan,High,2025-05-01
aa7f83c8-de1b-407a-a98a-e78f67f4a5b7,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Virtual Reality,Neutral,2025-05-02
d4f31e9c-6cf9-46b5-8391-476736ac6522,Structural Coordination,Coordinate with the structural engineer for beam placements.,Custom Millwork & Joinery Drawing,Neutral,2025-04-19
0e856334-d843-496e-9d54-6c879e9f3d8c,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Virtual Reality,Neutral,2025-04-15
52f8e4f1-3c82-4941-a1fa-f220d5592ead,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Permit Drawing,Low,2025-05-01
1acff96d-8d5c-4503-92c8-131214691456,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Site Plan,High,2025-04-10
120cdbd1-c0d8-4419-959a-bb2e01dbdd12,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Zoning & Building Code Compliance,Neutral,2025-04-15
2879b3d2-082b-48ea-97e7-aec7d68769d9,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Door & Window Schedule,Low,2025-04-27
6e6b9ac4-3353-4537-83dd-0f72ba3a77c3,Technical Specifications,Compile technical specifications for the construction phase.,Interior Layout Plan,High,2025-04-26
88159f10-936d-462d-b355-5017fa3e538d,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Hardscape Plan,High,2025-04-21
3a88dfe5-d589-43e2-b351-6816c3c18f2e,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Interior Layout Plan,Low,2025-04-20
034f81da-edf8-48eb-8b20-80a0d128b058,Construction Documentation,Compile detailed construction drawings for city permit approval.,Reflected Ceiling Plan,Low,2025-04-15
e40496fe-a106-421e-8c78-6fa4bedc2291,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Partition Plan,Low,2025-04-24
b234b9f0-3b37-4fa8-b692-f047f849c0cf,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Zoning & Building Code Compliance,Neutral,2025-04-27
05e664bb-d436-44fd-9e31-ea9e5c9f5777,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Section Drawing,High,2025-04-05
42e2d9c4-2ea7-4e72-bf22-32f79bdefc40,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Roof Plan,Neutral,2025-04-29
c3dbe01b-12f9-4b99-93f8-f7945ff001b3,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Reflected Ceiling Plan,High,2025-05-03
e42c3e13-4a44-49d5-83f5-4dc34f04eb86,Permit Drawing Submission,Prepare and submit permit drawings for approval.,General Specification,Neutral,2025-04-16
b63efec7-fe0d-4eea-8595-94d2e90f8fe4,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Custom Millwork & Joinery Drawing,Neutral,2025-04-29
cde091de-477c-45a3-8094-3f65aa19adaf,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Custom Millwork & Joinery Drawing,Neutral,2025-04-26
80b1a599-89ac-448c-9a56-bc9f2d53b996,Construction Documentation,Compile detailed construction drawings for city permit approval.,Design Development,Neutral,2025-05-01
7d47eaab-fcac-45e3-96a0-4794eb79cfbb,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Reflected Ceiling Plan,Neutral,2025-04-27
161fc85d-35fe-485b-96d7-6cc181e0741a,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Landscape Plan,Low,2025-04-20
6559a133-129e-4330-be9f-1ae6bd970556,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Technical Specification,Low,2025-04-18
473400ca-e75b-419f-ac81-d1b922c1cdb6,Construction Documentation,Compile detailed construction drawings for city permit approval.,Schematic Design,Low,2025-04-19
91c689e0-abdc-4b30-998c-2c809219a302,Technical Specifications,Compile technical specifications for the construction phase.,Reflected Ceiling Plan,Neutral,2025-04-26
956cd724-4dd0-4a88-83f1-8428c033585b,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Design Development,Low,2025-04-09
f6748b48-a68d-4b89-814d-e0d8c5800272,Structural Coordination,Coordinate with the structural engineer for beam placements.,Furniture Layout Plan,High,2025-04-05
c2bc9db6-9152-4d59-a86b-4e40e77c3bb7,Technical Specifications,Compile technical specifications for the construction phase.,Floor Plan,High,2025-04-16
0902e3e3-086e-4473-9fff-e2f6ab88a086,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Finish Schedule,Neutral,2025-04-08
f6b36598-6e36-4086-a0be-e62c304bc985,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Elevation Drawing,Low,2025-04-15
2851044c-fe3d-4b5f-a57b-78e714fbaa0b,Permit Drawing Submission,Prepare and submit permit drawings for approval.,General Specification,Neutral,2025-04-15
97667fac-e76d-4b23-bd46-b664a0ff7590,Structural Coordination,Coordinate with the structural engineer for beam placements.,Elevation Drawing,Neutral,2025-04-17
4205d49c-3baa-4101-ab00-322071ac4811,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Elevation Drawing,High,2025-04-12
bcd14a38-29d3-42ac-a7f1-d60e832648ff,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Section Drawing,Low,2025-04-22
d9a0cb30-4eb1-4964-ad19-32b7b3ad4f7a,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Door & Window Schedule,Neutral,2025-04-28
8c083a5d-4aa8-4629-9638-2b0f3ee32467,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Schematic Design,Neutral,2025-04-05
038d2bd2-8d26-4333-a1c7-84f7080bcec6,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Landscape Plan,High,2025-04-21
ad66a596-0aac-409c-84a2-f1755548008d,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Hardscape Plan,High,2025-04-05
ee9c6318-6f71-4a63-bb25-98d1627c6c40,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Permit Drawing,Neutral,2025-04-08
63fe4360-e078-439d-b812-b7e3a3c64994,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,3D Render,High,2025-04-06
78975f0d-444b-4229-b428-cc1ff30a5fe5,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Material Board,Neutral,2025-05-02
b31c8bf7-8e48-49d8-af4d-99364916d973,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Site Plan,Low,2025-04-09
7ad5c3bc-db4c-467c-8923-c1dc32c59ca7,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Permit Drawing,High,2025-04-16
37f23f93-2e2a-46c0-aef3-3cdf58f6ddd8,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Furniture Layout Plan,Low,2025-04-14
c129bbd3-39ed-4ed1-8ec0-ec6a7089851c,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Zoning & Building Code Compliance,Low,2025-04-20
07b9b50a-b84b-4927-9be0-11963d25123a,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Lighting & Fixture Plan,Low,2025-04-20
c0e4b081-9d09-4d7a-9731-1b396b392ab0,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Roof Plan,High,2025-04-04
8f7d61e7-e638-4fa8-a251-4879a8a219d2,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Permit Drawing,Low,2025-04-26
dc62f913-6801-4f81-8bee-5fc6aa459528,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Construction Document,Neutral,2025-04-04
cf02ff31-d60e-4bf6-a572-b88e07ca2f70,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Lighting & Fixture Plan,High,2025-04-13
a023bb5b-4d90-413e-ae94-893dfbfce70f,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Construction Document,High,2025-04-13
e2161030-9f0c-4185-88ab-d630c0501ed7,Construction Documentation,Compile detailed construction drawings for city permit approval.,Site Plan,Low,2025-04-11
3c4a238d-7179-4ded-97bf-9bf645815056,Structural Coordination,Coordinate with the structural engineer for beam placements.,Finish Schedule,High,2025-04-28
7586e848-b322-49a9-9259-18a715ea5cb0,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Section Drawing,Neutral,2025-04-05
42410f84-9854-40eb-ae11-5d4171022909,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Permit Drawing,Neutral,2025-04-10
c6da64f2-28c1-428c-b635-91f392ea1300,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Landscape Plan,Low,2025-04-05
a67b2c28-e173-4fef-a2b1-db52bb57226b,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Lighting & Fixture Plan,Neutral,2025-04-29
c1b6ce04-644b-4966-91fc-7cbd24fae771,Structural Coordination,Coordinate with the structural engineer for beam placements.,General Specification,Neutral,2025-04-08
11b1a8dc-c0fb-4951-9cd3-51a37d67d509,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Virtual Reality,High,2025-04-20
6e826de6-c928-4d8e-bc70-95de1fc561ed,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Custom Millwork & Joinery Drawing,Neutral,2025-05-01
cafd6f7f-3277-407d-bcdc-fd2b854f5545,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,3D Model,High,2025-04-10
8161fa52-d776-42b0-a135-d7cd9f827c7a,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Hardscape Plan,Low,2025-05-03
1d248afb-257d-4ad4-9949-6402ed784dcd,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Furniture Layout Plan,High,2025-04-25
95538b43-d064-4b89-87d9-4aff76dfe6b4,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Lighting & Fixture Plan,Low,2025-04-10
0a1ca1c5-e592-4cc6-9f08-b80dadb57f95,Structural Coordination,Coordinate with the structural engineer for beam placements.,Permit Drawing,High,2025-04-20
64a5da14-cee9-4270-bf60-75c807e0e91f,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Technical Specification,Low,2025-04-26
cdf25e6a-7461-4cb7-88cc-2db2ada3d9d9,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Custom Millwork & Joinery Drawing,Neutral,2025-04-15
82dff48d-3aad-4897-bca1-46c82c984637,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Zoning & Building Code Compliance,Low,2025-04-11
2e6975cf-5411-4063-a899-ddc0e62f4c5a,Permit Drawing Submission,Prepare and submit permit drawings for approval.,3D Render,Low,2025-04-24
64751471-dcab-4269-9016-59bd187c8a22,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,3D Model,High,2025-04-27
8268314a-0b53-4b93-b253-407a147b4e97,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,3D Render,High,2025-04-14
f76146b1-09ab-49e5-842e-ec63ffa4c2b9,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Conceptual Design,Low,2025-04-16
8ccf5ae5-6bb4-49a8-80fe-2381989997f6,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Virtual Reality,Low,2025-04-14
cb81f152-87d6-48e5-8325-333b37995852,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Material Board,Neutral,2025-04-09
1af3fce4-60ce-4d77-b96d-f3c00438dc39,Structural Coordination,Coordinate with the structural engineer for beam placements.,Virtual Reality,Low,2025-04-17
ab3355b2-8120-417a-872f-0fdf4c16ba25,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Interior Layout Plan,High,2025-04-12
30efe39d-48d7-42b1-a87b-b3f29673a52a,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Furniture Layout Plan,Neutral,2025-04-18
e23b1012-faac-4dba-99ca-797c8276317c,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Custom Millwork & Joinery Drawing,Low,2025-04-06
45c34051-bf5b-4374-8c8b-cc4c13c0fff8,Technical Specifications,Compile technical specifications for the construction phase.,Floor Plan,Neutral,2025-04-29
0979fec3-4cc9-4bff-a25d-4e5611a424d3,Construction Documentation,Compile detailed construction drawings for city permit approval.,Section Drawing,Neutral,2025-04-23
46d4cefd-7ab6-43ab-9347-27798711b6b0,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Landscape Plan,Neutral,2025-04-28
da7f4623-8629-4388-97f9-834498d2f493,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Landscape Plan,Neutral,2025-04-12
85edfc54-30aa-4015-886c-5995c6fa0346,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Floor Plan,Neutral,2025-04-30
19cbe674-4dd0-4717-9055-0cb5b996361d,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Others,Neutral,2025-04-29
3d954fd0-263c-4c7c-8c3c-cf49832d7e5a,Structural Coordination,Coordinate with the structural engineer for beam placements.,Material Board,High,2025-04-06
ff4eb180-3533-4ce1-8911-ae0921d2fabc,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Floor Plan,High,2025-04-20
7b7dfd71-e95c-41d3-a9fa-f3e8b7d6423b,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Section Drawing,Neutral,2025-04-25
3cbbb5f6-842e-48ec-ae4f-eebdb9cd1c88,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Interior Layout Plan,High,2025-04-09
1181f9fd-5673-4c1b-a6e2-3e4f8aec04d9,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Construction Document,Low,2025-04-08
069e9683-a12f-4d3b-bb67-01a2a5731839,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Material Board,High,2025-04-27
587a0098-7859-4e44-acf9-7287ef92dff9,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Material Board,Neutral,2025-04-07
5385afb8-21bd-4d64-a920-ba86437679e6,Technical Specifications,Compile technical specifications for the construction phase.,Roof Plan,Low,2025-04-17
42dd11f6-5aaf-4c62-bca8-2f339b33af4a,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Interior Layout Plan,High,2025-05-03
28920706-09a2-47b7-81d5-31aaa5c15003,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,3D Model,Neutral,2025-04-06
37c5e0e0-4668-4e1f-af26-92219b0f564a,Technical Specifications,Compile technical specifications for the construction phase.,3D Render,Neutral,2025-04-11
14bfbce5-795a-4116-b2b9-0de8e52ee48b,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Conceptual Design,Low,2025-04-13
7499c0da-0bbe-4276-b73c-8cc3da9e6232,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Landscape Plan,Neutral,2025-04-25
219aa7f5-8be9-4f96-a818-868d2c73074f,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Door & Window Schedule,Low,2025-04-20
2af93494-7be7-4f5a-a9ca-eaa60ca33756,Structural Coordination,Coordinate with the structural engineer for beam placements.,Construction Document,Neutral,2025-04-04
c09dd542-ced8-4f5f-8ae2-3dfa95ea1c06,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Zoning & Building Code Compliance,Low,2025-04-25
0dccd07a-8019-4f62-b939-25b711355549,Structural Coordination,Coordinate with the structural engineer for beam placements.,3D Render,Neutral,2025-05-03
d2b14029-53f8-4dc7-b9b7-8d39835c0c74,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,General Specification,Neutral,2025-04-06
e862e9c0-833d-414a-a43b-57fb3ae1a5da,Technical Specifications,Compile technical specifications for the construction phase.,Hardscape Plan,Neutral,2025-04-14
565fab02-4dc2-4463-941d-d06e4ef60b79,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Zoning & Building Code Compliance,Low,2025-04-06
806819b7-0f27-48fc-b838-86297451281c,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Door & Window Schedule,Neutral,2025-04-20
37b99b5c-e90a-4466-8557-bab70387eeb6,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Door & Window Schedule,High,2025-04-20
3e98936d-9e07-4642-b78f-8877eeda75d4,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Door & Window Schedule,Neutral,2025-04-12
0aaddd0d-91f0-4bbc-9b4f-b4d3064bd950,Construction Documentation,Compile detailed construction drawings for city permit approval.,Finish Schedule,Neutral,2025-04-14
952653e2-5b66-4832-807d-21587199aa9c,Construction Documentation,Compile detailed construction drawings for city permit approval.,Roof Plan,Neutral,2025-04-22
1c5ec996-e3e8-4476-8c39-8d23ec2fb52e,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Conceptual Design,Neutral,2025-04-19
44f07f27-5496-44ed-a8f2-a87e8d9d3fe4,Permit Drawing Submission,Prepare and submit permit drawings for approval.,3D Model,Neutral,2025-04-26
848bab02-55a8-4950-afa9-846d0ebff568,Construction Documentation,Compile detailed construction drawings for city permit approval.,Site Plan,Low,2025-04-11
bbd0f060-f07a-4295-86a8-f48a6cc3dbeb,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Elevation Drawing,Low,2025-04-07
0123149e-8a91-4c81-86a7-67586ffa247c,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Virtual Reality,High,2025-04-14
531aa066-58c0-4baa-aecf-7852b584d6e9,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Zoning & Building Code Compliance,Low,2025-04-12
cf29688c-7e5b-4678-9ec2-fb0e3d0956ca,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Elevation Drawing,High,2025-04-12
72a4e2da-0cfb-4709-ab57-2214b4300fa1,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Custom Millwork & Joinery Drawing,Neutral,2025-04-19
f6b89e0e-5aa8-47d0-8519-27bfa134573b,Construction Documentation,Compile detailed construction drawings for city permit approval.,Custom Millwork & Joinery Drawing,Neutral,2025-04-12
efd85912-1d9d-4fca-a274-bdbfbcba8b53,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Roof Plan,Low,2025-04-17
2e0c610a-322b-4bdd-9f48-78693f14fc18,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,General Specification,High,2025-04-20
599e56bd-4f60-4c31-8a0c-406101219948,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Interior Layout Plan,Neutral,2025-04-30
e3533a7d-7260-486c-9b42-0e97d1f8f57f,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Others,Low,2025-04-23
f8f98eeb-4af6-4209-9bfd-3d78af175982,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Material Board,Low,2025-04-12
eb3c35e7-f8fa-42ad-b6f7-a340cdb187f4,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Elevation Drawing,Low,2025-04-13
62995938-428e-493c-8003-376073063d15,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Finish Schedule,High,2025-04-30
d28518ef-7f9a-4576-ae90-f2e382b7579d,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Roof Plan,High,2025-04-30
d1a4c8f1-169d-44b4-a652-6f8f0dcb816c,Technical Specifications,Compile technical specifications for the construction phase.,Elevation Drawing,Neutral,2025-04-10
a4b7a719-81d9-4e92-bb19-549bc61a0a4b,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Design Development,Neutral,2025-04-09
bd578984-0292-4f96-82a5-09ae05506e13,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Others,Low,2025-04-21
ce1f0b06-cc09-4b5e-be5e-9dd8c3461077,Construction Documentation,Compile detailed construction drawings for city permit approval.,Conceptual Design,Neutral,2025-04-17
313b53ba-1d82-4cae-bd1d-f9dddc290ac1,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,General Specification,Neutral,2025-04-23
9a160da2-fff6-4b99-a66b-a2a2f1379d9f,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Lighting & Fixture Plan,Low,2025-04-26
