user_id,name,quality_score,task_id,title,description,type_of_task,priority_level,due_date
af501ad1-e93d-42c7-8c4c-7e29e64652e5,User 9,0.9,e4843927-a588-4157-939f-40bd597fd604,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Custom Millwork & Joinery Drawing,Low,2025-04-10
2c56d310-1721-477f-afec-8afb6ecdc050,User 5,0.91,215e3b0f-123d-4185-b2d9-a8debdf033ef,Structural Coordination,Coordinate with the structural engineer for beam placements.,Section Drawing,High,2025-04-05
eda9e178-4308-4640-9d0e-386e9096f095,User 7,0.99,4b026a83-ebdd-4af2-9aa0-26919053cab2,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Custom Millwork & Joinery Drawing,Low,2025-05-01
e118a99c-62db-4ecf-b3e7-21ca9f0c6f08,User 4,0.7,e7d25ad1-f106-406e-99f2-d9f7d5003ce6,Technical Specifications,Compile technical specifications for the construction phase.,Virtual Reality,Low,2025-05-01
eda9e178-4308-4640-9d0e-386e9096f095,User 7,0.62,d40d1ac2-057c-4bbc-9cfc-d88b86a0840b,Structural Coordination,Coordinate with the structural engineer for beam placements.,Permit Drawing,High,2025-04-11
7e681771-b7b1-4757-a5d7-fa45f1c1ca91,User 6,0.99,54376950-7f16-43de-90b1-52987912472d,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Custom Millwork & Joinery Drawing,High,2025-04-22
2c56d310-1721-477f-afec-8afb6ecdc050,User 5,0.86,0c6f1e2a-dc24-4edd-8d85-6dd772b93f46,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Partition Plan,Neutral,2025-04-05
eda9e178-4308-4640-9d0e-386e9096f095,User 7,0.86,2faba4e6-3409-4e41-a347-e50cf65b47e5,Structural Coordination,Coordinate with the structural engineer for beam placements.,Floor Plan,Neutral,2025-04-15
2c56d310-1721-477f-afec-8afb6ecdc050,User 5,0.75,f5853023-a0b1-4378-bf40-b458708cb165,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Permit Drawing,High,2025-04-13
eda9e178-4308-4640-9d0e-386e9096f095,User 7,0.74,7dbbe483-a7a3-466b-bc17-2e7964b8999e,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Furniture Layout Plan,Low,2025-04-30
af501ad1-e93d-42c7-8c4c-7e29e64652e5,User 9,0.92,d7e73478-c3e8-4b80-842e-f632b8331419,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Technical Specification,Neutral,2025-04-07
b5d488b2-8cba-4d5e-a7fe-4a626fdfb5bf,User 1,0.86,e5c4f763-14d2-4cdf-b9bb-0ef95809ebb3,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Others,Neutral,2025-04-23
e118a99c-62db-4ecf-b3e7-21ca9f0c6f08,User 4,0.81,b147508a-af0a-44e8-89f9-c37b1881e65d,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Elevation Drawing,Low,2025-04-08
af501ad1-e93d-42c7-8c4c-7e29e64652e5,User 9,0.92,0436c451-3295-4dee-af2b-4501e323ef9a,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Material Board,Neutral,2025-04-14
7e681771-b7b1-4757-a5d7-fa45f1c1ca91,User 6,0.96,ef34195d-a627-4311-b335-d42ce8b2cba8,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Hardscape Plan,Low,2025-04-25
ca5a1f93-648f-4795-8ce0-eaf69044ffbf,User 3,0.98,554f57ab-2742-4ff5-a22f-2515c6869103,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Finish Schedule,Low,2025-04-16
7e681771-b7b1-4757-a5d7-fa45f1c1ca91,User 6,0.82,20463d14-d893-4bbf-86b2-8e04f1ce6358,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Others,High,2025-04-07
31c0ec07-616a-4d60-9db4-cbb75bd98928,User 8,0.97,e96468bf-f9a3-4371-b43b-30959814add8,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Elevation Drawing,Low,2025-04-28
2c56d310-1721-477f-afec-8afb6ecdc050,User 5,0.65,0093cc12-7f9d-41c2-bdb9-5df2eed8d0e6,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Reflected Ceiling Plan,Neutral,2025-04-28
db8f7e99-6511-47ed-8c2d-057f90c2d3ad,User 2,0.87,19e97516-d60b-4415-87e8-587b1c99c6b7,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,3D Render,Neutral,2025-04-28
e118a99c-62db-4ecf-b3e7-21ca9f0c6f08,User 4,0.98,5e3b7cab-c9af-4fa5-9770-f5fd2aa665af,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Material Board,High,2025-04-22
af501ad1-e93d-42c7-8c4c-7e29e64652e5,User 9,0.66,3a4e5a8a-3895-44d5-8902-82e087547aff,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,3D Render,Neutral,2025-04-24
7e681771-b7b1-4757-a5d7-fa45f1c1ca91,User 6,0.71,dc7439f1-9178-425f-be2b-cdf9677faee2,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Others,High,2025-04-17
2c56d310-1721-477f-afec-8afb6ecdc050,User 5,0.72,4abcfbe1-98ff-4437-9abc-5291d52cac93,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Lighting & Fixture Plan,Neutral,2025-04-07
eda9e178-4308-4640-9d0e-386e9096f095,User 7,0.99,3f635be2-5b47-4226-9ad4-fe26eff8d03c,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Reflected Ceiling Plan,High,2025-04-07
e118a99c-62db-4ecf-b3e7-21ca9f0c6f08,User 4,0.84,db89a754-32e9-4be0-9773-dd7767067ac0,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Others,Low,2025-04-06
b5d488b2-8cba-4d5e-a7fe-4a626fdfb5bf,User 1,0.73,1175cdc7-48f5-4b8b-ad4f-8e4dd903eee2,Structural Coordination,Coordinate with the structural engineer for beam placements.,Others,High,2025-04-26
e118a99c-62db-4ecf-b3e7-21ca9f0c6f08,User 4,0.85,320ffd93-1d79-4a6d-ad9f-285f3b6385bd,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Zoning & Building Code Compliance,High,2025-04-15
b5d488b2-8cba-4d5e-a7fe-4a626fdfb5bf,User 1,0.99,9632e1dd-3483-4e6a-bd3b-873e2e1f2e48,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Design Development,Neutral,2025-04-18
7e681771-b7b1-4757-a5d7-fa45f1c1ca91,User 6,0.82,481b3dbb-969a-4364-af1c-c0b4ecfd3865,Construction Documentation,Compile detailed construction drawings for city permit approval.,Furniture Layout Plan,Low,2025-04-29
7e681771-b7b1-4757-a5d7-fa45f1c1ca91,User 6,0.75,360085df-5ac5-4eb4-9475-f3fc1108b1e7,Technical Specifications,Compile technical specifications for the construction phase.,Technical Specification,Neutral,2025-04-29
ca5a1f93-648f-4795-8ce0-eaf69044ffbf,User 3,0.77,eadf4869-f088-4a93-b529-952d351257f7,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,3D Model,Low,2025-04-12
db8f7e99-6511-47ed-8c2d-057f90c2d3ad,User 2,0.6,84e37c59-4ab2-4004-a537-b77d5063feb3,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Permit Drawing,Low,2025-04-08
e118a99c-62db-4ecf-b3e7-21ca9f0c6f08,User 4,0.84,c923ead0-b4fb-4897-b39e-96e23497caa0,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,General Specification,Neutral,2025-04-23
93ba2297-6b06-4b1a-8027-fa46f18719e7,User 10,0.7,ddc105e1-b95b-4705-92af-02296fc0e3d7,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Others,High,2025-04-18
7e681771-b7b1-4757-a5d7-fa45f1c1ca91,User 6,0.99,59361ef9-a82a-4b09-933c-f5015879461a,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Zoning & Building Code Compliance,Neutral,2025-05-03
af501ad1-e93d-42c7-8c4c-7e29e64652e5,User 9,0.62,3bb8bebf-1613-4807-994f-497d40dc1a29,Structural Coordination,Coordinate with the structural engineer for beam placements.,3D Render,Low,2025-04-20
e118a99c-62db-4ecf-b3e7-21ca9f0c6f08,User 4,0.92,67cca814-9f0b-43df-8072-f5c3e2c815f0,Construction Documentation,Compile detailed construction drawings for city permit approval.,Site Plan,Neutral,2025-04-11
2c56d310-1721-477f-afec-8afb6ecdc050,User 5,0.91,a1760a80-378b-4634-8d4d-72845b69dded,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Zoning & Building Code Compliance,Low,2025-05-03
2c56d310-1721-477f-afec-8afb6ecdc050,User 5,0.93,863a101e-5be6-4e39-9146-e3679591f95a,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Interior Layout Plan,Low,2025-05-02
7e681771-b7b1-4757-a5d7-fa45f1c1ca91,User 6,0.8,e9d08443-6ae1-442f-b35f-0dcbe06d99e0,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Door & Window Schedule,High,2025-04-24
ca5a1f93-648f-4795-8ce0-eaf69044ffbf,User 3,0.78,36874045-40ca-42f3-ba95-b7db7e98af05,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Construction Document,High,2025-04-12
93ba2297-6b06-4b1a-8027-fa46f18719e7,User 10,0.82,7a88f69e-e113-47d9-89fc-9fe088fbefcf,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Finish Schedule,Neutral,2025-04-11
eda9e178-4308-4640-9d0e-386e9096f095,User 7,0.67,cbc33496-ef11-468e-9b7a-dbf7dc4e09fb,Structural Coordination,Coordinate with the structural engineer for beam placements.,Conceptual Design,Neutral,2025-04-04
db8f7e99-6511-47ed-8c2d-057f90c2d3ad,User 2,0.89,232ac22c-de9e-4c4d-a3ba-8364145cfbb1,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Site Plan,Neutral,2025-04-28
e118a99c-62db-4ecf-b3e7-21ca9f0c6f08,User 4,0.83,16f2c002-2034-42e9-8708-f869024eedf2,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Partition Plan,Neutral,2025-04-12
ca5a1f93-648f-4795-8ce0-eaf69044ffbf,User 3,0.74,b79a719d-1f9f-4372-8d68-977b31c827eb,Technical Specifications,Compile technical specifications for the construction phase.,Section Drawing,Neutral,2025-04-06
e118a99c-62db-4ecf-b3e7-21ca9f0c6f08,User 4,0.93,1fa03f07-46be-4f98-a7c3-a48a8a17136c,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Reflected Ceiling Plan,High,2025-05-03
2c56d310-1721-477f-afec-8afb6ecdc050,User 5,0.83,02f4cdb4-70e1-4cf4-8b63-91482462267d,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,General Specification,Low,2025-04-05
31c0ec07-616a-4d60-9db4-cbb75bd98928,User 8,0.68,0a51a557-c290-4bbb-953a-cbf6bfc0d65d,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Reflected Ceiling Plan,Low,2025-04-25
ca5a1f93-648f-4795-8ce0-eaf69044ffbf,User 3,0.73,72217d7e-f65b-40ea-8a8b-f5a311b2054c,Structural Coordination,Coordinate with the structural engineer for beam placements.,Custom Millwork & Joinery Drawing,Low,2025-04-08
af501ad1-e93d-42c7-8c4c-7e29e64652e5,User 9,0.7,2fdad489-e9f7-4093-aa30-3241c79a657d,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,General Specification,Neutral,2025-05-01
31c0ec07-616a-4d60-9db4-cbb75bd98928,User 8,0.95,79c692db-b0e0-44d7-89b5-80598032d189,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Door & Window Schedule,Neutral,2025-05-02
31c0ec07-616a-4d60-9db4-cbb75bd98928,User 8,0.61,e0d2fb63-ac5c-4eb4-be41-1c1a566b5409,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Door & Window Schedule,Low,2025-04-29
2c56d310-1721-477f-afec-8afb6ecdc050,User 5,0.64,1a94c495-4643-41bb-8149-929a0179d599,Construction Documentation,Compile detailed construction drawings for city permit approval.,Landscape Plan,High,2025-04-08
e118a99c-62db-4ecf-b3e7-21ca9f0c6f08,User 4,0.65,13d65dea-a718-4a30-b62d-a8916c5dab5d,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Material Board,Neutral,2025-04-08
e118a99c-62db-4ecf-b3e7-21ca9f0c6f08,User 4,0.99,c2cd9886-eb87-4148-8983-1e08ab1d76fb,Technical Specifications,Compile technical specifications for the construction phase.,3D Model,Low,2025-04-15
2c56d310-1721-477f-afec-8afb6ecdc050,User 5,0.89,501b50cc-0338-4032-8dd8-ab987e3eb3b0,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Finish Schedule,Neutral,2025-04-22
db8f7e99-6511-47ed-8c2d-057f90c2d3ad,User 2,0.73,68655c7b-2792-4cda-a497-daea05d5a00c,Structural Coordination,Coordinate with the structural engineer for beam placements.,Design Development,High,2025-04-08
eda9e178-4308-4640-9d0e-386e9096f095,User 7,0.84,8edfe0f6-ba34-436d-bb77-7614500e044b,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Roof Plan,Low,2025-04-21
ca5a1f93-648f-4795-8ce0-eaf69044ffbf,User 3,0.65,79efbd67-c4d7-4b32-a542-2dc677c19397,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Conceptual Design,High,2025-04-28
e118a99c-62db-4ecf-b3e7-21ca9f0c6f08,User 4,0.85,760f1ed8-039a-48d8-bbd6-cd1bd9ced96d,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Material Board,High,2025-05-03
e118a99c-62db-4ecf-b3e7-21ca9f0c6f08,User 4,0.66,c56cd3a0-22a9-471a-a185-b4e3b087e173,Structural Coordination,Coordinate with the structural engineer for beam placements.,Elevation Drawing,Neutral,2025-05-03
b5d488b2-8cba-4d5e-a7fe-4a626fdfb5bf,User 1,0.65,39b136bb-88ba-4b93-ac0d-a7ba3e32b280,Construction Documentation,Compile detailed construction drawings for city permit approval.,Floor Plan,Neutral,2025-04-10
2c56d310-1721-477f-afec-8afb6ecdc050,User 5,0.78,188c93c3-077e-4d21-9d78-be359acf663f,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Partition Plan,Low,2025-04-14
31c0ec07-616a-4d60-9db4-cbb75bd98928,User 8,0.63,f5d51328-e0bb-4c99-abef-34c60ab0bf4d,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Door & Window Schedule,High,2025-04-28
31c0ec07-616a-4d60-9db4-cbb75bd98928,User 8,0.68,cc949e8e-a7f5-42ac-b66d-1aba3e3203c2,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Material Board,Neutral,2025-04-09
ca5a1f93-648f-4795-8ce0-eaf69044ffbf,User 3,0.85,d5334e15-40be-4f0e-9c94-ed19afe29330,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Conceptual Design,Neutral,2025-04-07
af501ad1-e93d-42c7-8c4c-7e29e64652e5,User 9,0.69,176733b3-95d5-4246-8cd5-d839410955f4,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Door & Window Schedule,High,2025-04-09
eda9e178-4308-4640-9d0e-386e9096f095,User 7,0.7,cac6e99e-51c7-4270-82b2-bc0ef75eb93f,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Design Development,High,2025-04-22
db8f7e99-6511-47ed-8c2d-057f90c2d3ad,User 2,0.71,535d2de3-e7a0-4186-a447-6b80ba61b0d1,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Zoning & Building Code Compliance,Neutral,2025-04-11
e118a99c-62db-4ecf-b3e7-21ca9f0c6f08,User 4,0.68,28d3504f-68af-4aa4-82a1-c2b9d7150559,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Interior Layout Plan,Neutral,2025-04-27
af501ad1-e93d-42c7-8c4c-7e29e64652e5,User 9,0.83,00e7b5ff-2134-4caf-9542-0d5331607f80,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Construction Document,Low,2025-04-19
e118a99c-62db-4ecf-b3e7-21ca9f0c6f08,User 4,0.88,a1de02d6-145f-43f2-a7d1-766dd0fa9c23,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Permit Drawing,Neutral,2025-04-23
af501ad1-e93d-42c7-8c4c-7e29e64652e5,User 9,0.76,ae634692-c440-4d93-b075-3caf83eaf3ff,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Furniture Layout Plan,Low,2025-04-22
7e681771-b7b1-4757-a5d7-fa45f1c1ca91,User 6,0.62,160a8bc6-97a8-4f23-9a34-94a08f0c1a99,Landscape Design Refinement,Enhance the planting layout for the residential garden.,3D Render,Low,2025-04-13
93ba2297-6b06-4b1a-8027-fa46f18719e7,User 10,0.99,b872ee71-d10d-4e1e-a564-e002199cdc33,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Conceptual Design,Low,2025-04-08
af501ad1-e93d-42c7-8c4c-7e29e64652e5,User 9,0.92,9fd524db-43dc-4e6c-a656-e9c903fc97ea,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Schematic Design,High,2025-04-08
b5d488b2-8cba-4d5e-a7fe-4a626fdfb5bf,User 1,0.77,2becad6a-dcbc-4570-b6ae-85cc72cc3446,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Door & Window Schedule,High,2025-04-06
ca5a1f93-648f-4795-8ce0-eaf69044ffbf,User 3,1.0,f2f271ee-66ce-43c8-9754-4a2d14c72b2c,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Elevation Drawing,Neutral,2025-04-08
af501ad1-e93d-42c7-8c4c-7e29e64652e5,User 9,0.67,02ac955d-cb3d-439f-a781-d88cf32b8872,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Reflected Ceiling Plan,Low,2025-04-19
e118a99c-62db-4ecf-b3e7-21ca9f0c6f08,User 4,0.83,57243642-8e81-4a5a-99ca-3274f513ff3d,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Permit Drawing,Neutral,2025-04-14
7e681771-b7b1-4757-a5d7-fa45f1c1ca91,User 6,0.75,71954aa5-b655-43db-8d52-93feb5dc4b89,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Construction Document,Neutral,2025-04-05
af501ad1-e93d-42c7-8c4c-7e29e64652e5,User 9,0.68,34c32370-f983-4755-a63a-e2342345fd57,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Section Drawing,Low,2025-04-28
eda9e178-4308-4640-9d0e-386e9096f095,User 7,0.6,6f25f3a5-e8dd-4891-8edd-ef862929e3aa,Technical Specifications,Compile technical specifications for the construction phase.,Interior Layout Plan,Neutral,2025-04-26
eda9e178-4308-4640-9d0e-386e9096f095,User 7,0.68,d8961d91-da2d-44d2-bc5d-c0d72f3ab9ef,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Technical Specification,Low,2025-04-26
31c0ec07-616a-4d60-9db4-cbb75bd98928,User 8,0.64,e7fe9762-faa2-4338-a426-94242d1f6090,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Schematic Design,High,2025-04-12
db8f7e99-6511-47ed-8c2d-057f90c2d3ad,User 2,0.69,409d699b-a2a2-4f3f-acb0-eb880a47da83,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Others,High,2025-04-29
7e681771-b7b1-4757-a5d7-fa45f1c1ca91,User 6,1.0,1a47d59d-7620-4a5c-a371-7a61bcf36d85,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Door & Window Schedule,High,2025-04-16
2c56d310-1721-477f-afec-8afb6ecdc050,User 5,0.81,80ad2001-beb1-4378-a068-d0c32ed00a18,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Finish Schedule,High,2025-04-14
93ba2297-6b06-4b1a-8027-fa46f18719e7,User 10,0.98,a7771933-5819-459c-9741-454102ad24d1,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Virtual Reality,High,2025-04-04
7e681771-b7b1-4757-a5d7-fa45f1c1ca91,User 6,0.7,4afaff0b-c04d-4f08-a931-ad9ce15f11f7,Construction Documentation,Compile detailed construction drawings for city permit approval.,Interior Layout Plan,High,2025-04-04
b5d488b2-8cba-4d5e-a7fe-4a626fdfb5bf,User 1,0.86,0e747bd8-a509-4588-b1e3-a6208457a067,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Door & Window Schedule,Neutral,2025-04-09
eda9e178-4308-4640-9d0e-386e9096f095,User 7,0.74,39577ab5-8648-4580-8461-f99741921f01,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Section Drawing,High,2025-04-16
af501ad1-e93d-42c7-8c4c-7e29e64652e5,User 9,0.76,41df48fe-c2bd-4edb-8818-7625015a292a,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Hardscape Plan,High,2025-04-24
e118a99c-62db-4ecf-b3e7-21ca9f0c6f08,User 4,0.74,468c6f6f-57e9-4580-8ed5-1385ef8751f3,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Design Development,Low,2025-04-04
ca5a1f93-648f-4795-8ce0-eaf69044ffbf,User 3,0.77,8188eeae-737a-4274-8130-f3b262129beb,Structural Coordination,Coordinate with the structural engineer for beam placements.,3D Render,Neutral,2025-04-24
7e681771-b7b1-4757-a5d7-fa45f1c1ca91,User 6,0.99,24144360-78c2-4ff5-bbab-641ad7453f0c,Technical Specifications,Compile technical specifications for the construction phase.,3D Model,High,2025-04-06
7e681771-b7b1-4757-a5d7-fa45f1c1ca91,User 6,0.87,f97a96bf-f936-4095-a13d-5e03224a9d2d,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Elevation Drawing,Neutral,2025-04-23
e118a99c-62db-4ecf-b3e7-21ca9f0c6f08,User 4,0.62,7a4ef302-6864-4806-9aff-f62452317359,Technical Specifications,Compile technical specifications for the construction phase.,Roof Plan,Low,2025-05-01
93ba2297-6b06-4b1a-8027-fa46f18719e7,User 10,0.82,c48a7cce-1979-4efe-a38e-1ec322ae5e81,Construction Documentation,Compile detailed construction drawings for city permit approval.,Technical Specification,High,2025-04-12
e118a99c-62db-4ecf-b3e7-21ca9f0c6f08,User 4,0.84,901ce360-3e13-44a9-8c35-c70c1fdc38b2,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Design Development,High,2025-04-27
2c56d310-1721-477f-afec-8afb6ecdc050,User 5,0.68,532f3216-d16a-423a-afce-159442e0446e,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Partition Plan,Neutral,2025-05-01
7e681771-b7b1-4757-a5d7-fa45f1c1ca91,User 6,0.77,b3c9e032-cdbc-45fb-b300-b6b09d7c96de,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Conceptual Design,High,2025-04-12
7e681771-b7b1-4757-a5d7-fa45f1c1ca91,User 6,0.95,cf9cbfea-70c3-43c4-a47b-d3587234f951,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Elevation Drawing,High,2025-04-07
b5d488b2-8cba-4d5e-a7fe-4a626fdfb5bf,User 1,0.81,20d7a7f0-7a61-463a-b356-602a45660cf7,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Conceptual Design,High,2025-04-09
