preferred_task,quality_score,title,description,type_of_task,priority_level,due_date,workload
Section Drawing,0.99,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Zoning & Building Code Compliance,Low,2025-04-22,9
Elevation Drawing,0.7,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Reflected Ceiling Plan,High,2025-04-29,8
Floor Plan,0.61,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Floor Plan,Low,2025-05-02,5
Lighting & Fixture Plan,0.8,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Permit Drawing,Low,2025-05-05,8
Design Development,0.71,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Site Plan,Neutral,2025-04-12,4
Schematic Design,0.83,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,General Specification,Neutral,2025-04-17,1
3D Render,0.76,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Zoning & Building Code Compliance,Neutral,2025-04-22,3
Construction Document,0.8,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Finish Schedule,High,2025-04-29,4
Door & Window Schedule,0.81,Structural Coordination,Coordinate with the structural engineer for beam placements.,Hardscape Plan,High,2025-04-12,8
Conceptual Design,0.98,Permit Drawing Submission,Prepare and submit permit drawings for approval.,General Specification,High,2025-04-23,8
Landscape Plan,0.66,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Section Drawing,High,2025-04-11,0
Custom Millwork & Joinery Drawing,0.98,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Site Plan,High,2025-05-02,0
Landscape Plan,0.64,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Lighting & Fixture Plan,High,2025-05-02,5
Others,0.99,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Reflected Ceiling Plan,Neutral,2025-04-24,9
Interior Layout Plan,0.98,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Roof Plan,High,2025-04-21,10
3D Model,0.61,Construction Documentation,Compile detailed construction drawings for city permit approval.,Reflected Ceiling Plan,Low,2025-04-27,10
Finish Schedule,0.68,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Section Drawing,High,2025-04-23,9
Furniture Layout Plan,0.64,Structural Coordination,Coordinate with the structural engineer for beam placements.,Roof Plan,Neutral,2025-05-09,2
Furniture Layout Plan,0.63,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Reflected Ceiling Plan,High,2025-04-21,5
3D Model,0.88,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Schematic Design,Neutral,2025-04-24,8
Permit Drawing,0.78,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Lighting & Fixture Plan,Low,2025-04-17,0
General Specification,0.83,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,3D Render,Low,2025-05-06,2
Partition Plan,0.65,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Finish Schedule,Low,2025-04-19,10
Technical Specification,0.82,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,General Specification,Neutral,2025-05-02,1
Technical Specification,0.81,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Landscape Plan,Neutral,2025-05-06,2
Custom Millwork & Joinery Drawing,0.83,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Interior Layout Plan,High,2025-05-03,8
Floor Plan,0.88,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Section Drawing,Neutral,2025-05-04,1
Conceptual Design,0.6,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Landscape Plan,High,2025-04-12,2
Hardscape Plan,0.64,Construction Documentation,Compile detailed construction drawings for city permit approval.,3D Model,Low,2025-04-29,9
Elevation Drawing,0.86,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Furniture Layout Plan,Neutral,2025-05-08,9
Custom Millwork & Joinery Drawing,0.71,Technical Specifications,Compile technical specifications for the construction phase.,Zoning & Building Code Compliance,Low,2025-04-21,6
Door & Window Schedule,0.81,Structural Coordination,Coordinate with the structural engineer for beam placements.,Custom Millwork & Joinery Drawing,Neutral,2025-05-08,5
Others,0.9,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Door & Window Schedule,High,2025-05-04,8
Zoning & Building Code Compliance,0.67,Structural Coordination,Coordinate with the structural engineer for beam placements.,Partition Plan,High,2025-05-05,1
Lighting & Fixture Plan,0.89,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Design Development,High,2025-04-29,8
Others,0.65,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,3D Render,Neutral,2025-04-11,3
Landscape Plan,0.93,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Interior Layout Plan,Low,2025-05-08,0
Others,0.82,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Technical Specification,High,2025-04-25,5
General Specification,0.7,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Reflected Ceiling Plan,High,2025-05-05,7
Custom Millwork & Joinery Drawing,0.94,Technical Specifications,Compile technical specifications for the construction phase.,Elevation Drawing,High,2025-04-23,9
Construction Document,0.95,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,3D Model,High,2025-05-08,9
Conceptual Design,0.99,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Lighting & Fixture Plan,Neutral,2025-04-30,7
Lighting & Fixture Plan,0.94,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Permit Drawing,Low,2025-04-11,9
Material Board,0.95,3D Model Development,Create a detailed 3D model for the client’s new residential project.,General Specification,Low,2025-04-16,3
3D Render,0.71,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Furniture Layout Plan,Low,2025-04-22,5
Partition Plan,0.74,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Zoning & Building Code Compliance,High,2025-04-25,7
Finish Schedule,0.95,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Roof Plan,Neutral,2025-05-01,7
Conceptual Design,0.7,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Hardscape Plan,Neutral,2025-05-06,2
Furniture Layout Plan,0.97,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Conceptual Design,Low,2025-05-10,8
Hardscape Plan,0.67,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Interior Layout Plan,High,2025-04-29,6
Virtual Reality,0.7,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Custom Millwork & Joinery Drawing,High,2025-04-19,8
Roof Plan,0.85,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Permit Drawing,Low,2025-04-13,3
Partition Plan,0.78,Technical Specifications,Compile technical specifications for the construction phase.,Others,Low,2025-04-20,9
Material Board,0.65,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Interior Layout Plan,High,2025-04-19,3
Finish Schedule,0.68,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Schematic Design,Low,2025-04-22,2
3D Model,0.93,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Construction Document,Low,2025-04-20,6
Schematic Design,0.72,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Landscape Plan,Neutral,2025-04-13,10
Zoning & Building Code Compliance,0.72,Structural Coordination,Coordinate with the structural engineer for beam placements.,Roof Plan,Neutral,2025-04-25,4
Lighting & Fixture Plan,0.99,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Partition Plan,Low,2025-04-28,6
Material Board,0.74,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,General Specification,Neutral,2025-04-19,7
Lighting & Fixture Plan,0.61,Structural Coordination,Coordinate with the structural engineer for beam placements.,Virtual Reality,Neutral,2025-04-25,1
Custom Millwork & Joinery Drawing,0.72,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Door & Window Schedule,Low,2025-04-28,4
Roof Plan,0.83,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Landscape Plan,Neutral,2025-04-18,2
3D Render,0.65,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Schematic Design,Low,2025-04-14,1
Section Drawing,0.92,Technical Specifications,Compile technical specifications for the construction phase.,Interior Layout Plan,Neutral,2025-04-14,0
Furniture Layout Plan,0.92,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Door & Window Schedule,Low,2025-05-03,1
General Specification,0.98,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Floor Plan,High,2025-04-11,8
Interior Layout Plan,0.89,Structural Coordination,Coordinate with the structural engineer for beam placements.,Reflected Ceiling Plan,Neutral,2025-04-17,7
Interior Layout Plan,0.93,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Conceptual Design,Low,2025-04-12,0
3D Model,0.68,Technical Specifications,Compile technical specifications for the construction phase.,Technical Specification,Neutral,2025-04-11,6
Landscape Plan,0.91,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Others,High,2025-04-27,9
Construction Document,0.89,Construction Documentation,Compile detailed construction drawings for city permit approval.,Schematic Design,Neutral,2025-04-23,5
Finish Schedule,0.8,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Interior Layout Plan,High,2025-04-16,6
Site Plan,0.98,Structural Coordination,Coordinate with the structural engineer for beam placements.,Interior Layout Plan,Neutral,2025-05-06,10
Custom Millwork & Joinery Drawing,0.89,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Permit Drawing,Low,2025-04-19,3
Conceptual Design,0.9,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,3D Render,Low,2025-04-14,2
Zoning & Building Code Compliance,0.83,Construction Documentation,Compile detailed construction drawings for city permit approval.,Section Drawing,Neutral,2025-05-02,1
Reflected Ceiling Plan,0.7,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Furniture Layout Plan,High,2025-04-18,2
Lighting & Fixture Plan,0.87,Permit Drawing Submission,Prepare and submit permit drawings for approval.,3D Model,Low,2025-04-24,4
Interior Layout Plan,0.83,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Zoning & Building Code Compliance,High,2025-04-24,9
Custom Millwork & Joinery Drawing,0.65,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Permit Drawing,High,2025-05-05,8
Floor Plan,0.76,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Permit Drawing,High,2025-05-04,4
Virtual Reality,0.71,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,3D Render,Neutral,2025-05-08,2
Interior Layout Plan,0.72,Structural Coordination,Coordinate with the structural engineer for beam placements.,Partition Plan,High,2025-05-07,8
Material Board,0.77,Permit Drawing Submission,Prepare and submit permit drawings for approval.,3D Render,Low,2025-04-16,10
Virtual Reality,0.85,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Zoning & Building Code Compliance,Neutral,2025-04-18,4
Roof Plan,0.65,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Partition Plan,High,2025-05-06,6
Design Development,0.88,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Design Development,High,2025-04-27,9
Technical Specification,0.7,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Construction Document,Low,2025-04-24,2
Elevation Drawing,0.75,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Design Development,Neutral,2025-05-09,0
Permit Drawing,0.78,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Technical Specification,High,2025-05-04,9
Others,0.76,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Zoning & Building Code Compliance,Neutral,2025-05-05,2
Virtual Reality,0.94,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Design Development,Low,2025-04-20,9
Permit Drawing,0.7,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Material Board,Neutral,2025-04-24,3
General Specification,0.69,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Site Plan,Neutral,2025-05-08,5
Partition Plan,0.82,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Schematic Design,Neutral,2025-04-25,2
Partition Plan,0.65,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Elevation Drawing,High,2025-05-02,3
Section Drawing,0.61,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,3D Render,Neutral,2025-04-30,4
Permit Drawing,0.67,Construction Documentation,Compile detailed construction drawings for city permit approval.,General Specification,Neutral,2025-04-24,8
Virtual Reality,0.91,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Technical Specification,High,2025-04-25,5
Design Development,0.71,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Construction Document,High,2025-04-11,5
Lighting & Fixture Plan,0.79,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Door & Window Schedule,Neutral,2025-05-05,10
Reflected Ceiling Plan,0.91,Structural Coordination,Coordinate with the structural engineer for beam placements.,3D Model,High,2025-04-19,3
Reflected Ceiling Plan,0.98,Construction Documentation,Compile detailed construction drawings for city permit approval.,Furniture Layout Plan,Low,2025-04-26,2
Technical Specification,0.96,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Door & Window Schedule,Low,2025-04-11,2
Construction Document,0.62,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Hardscape Plan,Neutral,2025-05-08,9
Elevation Drawing,0.68,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Reflected Ceiling Plan,High,2025-04-30,9
Permit Drawing,0.89,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,3D Model,High,2025-04-24,10
Landscape Plan,0.77,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Finish Schedule,High,2025-04-14,0
Reflected Ceiling Plan,0.61,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Site Plan,High,2025-04-29,1
Site Plan,0.91,Structural Coordination,Coordinate with the structural engineer for beam placements.,Lighting & Fixture Plan,Neutral,2025-04-18,5
Finish Schedule,1.0,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Reflected Ceiling Plan,Neutral,2025-05-05,10
Door & Window Schedule,0.97,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Interior Layout Plan,High,2025-04-12,10
Lighting & Fixture Plan,0.98,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Floor Plan,Low,2025-04-20,8
Reflected Ceiling Plan,0.71,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Interior Layout Plan,Neutral,2025-04-13,0
Zoning & Building Code Compliance,0.97,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Conceptual Design,High,2025-05-07,3
Material Board,0.72,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,3D Render,Low,2025-04-23,1
Material Board,0.8,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Reflected Ceiling Plan,Neutral,2025-04-19,2
Zoning & Building Code Compliance,0.61,Construction Documentation,Compile detailed construction drawings for city permit approval.,Elevation Drawing,High,2025-04-19,6
3D Render,0.91,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Custom Millwork & Joinery Drawing,High,2025-05-01,9
Others,0.62,Technical Specifications,Compile technical specifications for the construction phase.,Design Development,Neutral,2025-05-10,9
Zoning & Building Code Compliance,0.82,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Custom Millwork & Joinery Drawing,Neutral,2025-05-02,8
Elevation Drawing,0.72,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Custom Millwork & Joinery Drawing,Neutral,2025-04-27,9
Door & Window Schedule,0.69,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Schematic Design,Neutral,2025-04-30,7
Virtual Reality,0.89,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Custom Millwork & Joinery Drawing,Neutral,2025-05-01,5
Others,0.9,Technical Specifications,Compile technical specifications for the construction phase.,Others,High,2025-04-24,6
Design Development,0.88,Technical Specifications,Compile technical specifications for the construction phase.,Technical Specification,High,2025-05-09,0
Conceptual Design,0.63,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Design Development,Low,2025-05-06,8
Elevation Drawing,0.97,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Site Plan,High,2025-04-25,8
3D Render,0.65,Construction Documentation,Compile detailed construction drawings for city permit approval.,Schematic Design,Neutral,2025-04-15,1
Finish Schedule,0.98,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Conceptual Design,Neutral,2025-04-20,6
3D Model,0.62,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,3D Model,High,2025-05-07,4
3D Render,0.84,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Door & Window Schedule,Low,2025-05-02,8
Interior Layout Plan,0.87,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Elevation Drawing,Neutral,2025-04-12,6
Finish Schedule,0.99,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Hardscape Plan,Neutral,2025-04-20,10
Interior Layout Plan,0.95,Structural Coordination,Coordinate with the structural engineer for beam placements.,3D Render,Neutral,2025-04-19,10
Technical Specification,0.99,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Furniture Layout Plan,Neutral,2025-04-24,0
Technical Specification,0.86,Technical Specifications,Compile technical specifications for the construction phase.,Construction Document,Low,2025-05-02,2
