title,description,type_of_task,priority_level,due_date,workload,avg_quality_score,preferred_task,match_score
Building Performance Analysis,Assess daylighting and thermal performance using simulation tools.,Technical Specification,Low,2025-05-07,7,0.97,Site Plan,0.91
Client Feedback Revisions,Implement client-requested changes into the design presentation.,Floor Plan,Neutral,2025-04-11,7,0.89,General Specification,0.9
Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Floor Plan,Low,2025-05-06,10,0.99,Others,0.96
Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Custom Millwork & Joinery Drawing,High,2025-04-27,6,0.97,Interior Layout Plan,0.89
Technical Specifications,Compile technical specifications for the construction phase.,Virtual Reality,Neutral,2025-04-14,4,0.82,Site Plan,0.81
Client Feedback Revisions,Implement client-requested changes into the design presentation.,3D Render,High,2025-05-10,7,0.96,Hardscape Plan,0.94
Door & Window Schedule Drafting,Create a detailed schedule for all doors and windows in the hospitality project.,Material Board,Low,2025-04-13,4,0.98,Landscape Plan,0.91
Sustainability Assessment,Evaluate building materials and systems for LEED compliance.,Conceptual Design,Neutral,2025-04-18,7,0.83,Furniture Layout Plan,0.98
Construction Documentation,Compile detailed construction drawings for city permit approval.,Construction Document,High,2025-04-26,10,0.89,Construction Document,0.93
Door & Window Schedule Drafting,Create a detailed schedule for all doors and windows in the hospitality project.,Zoning & Building Code Compliance,High,2025-04-25,8,0.95,Virtual Reality,0.98
Technical Specifications,Compile technical specifications for the construction phase.,Conceptual Design,High,2025-04-27,8,0.95,Door & Window Schedule,0.83
Detail Section Drawing,Draw enlarged sections through complex junctions in the facade.,Schematic Design,Low,2025-04-16,10,0.9,Zoning & Building Code Compliance,0.9
Door & Window Schedule Drafting,Create a detailed schedule for all doors and windows in the hospitality project.,Virtual Reality,Neutral,2025-05-07,5,0.92,Section Drawing,0.98
As-Built Drawing Preparation,Update drawings to reflect actual built conditions post-construction.,Construction Document,High,2025-04-18,6,0.96,Reflected Ceiling Plan,0.86
Design Coordination Meeting,Meet with MEP consultants to ensure design integration across disciplines.,Elevation Drawing,Low,2025-04-27,6,0.96,Lighting & Fixture Plan,0.97
Furniture Layout Finalization,Plan and position loose and built-in furniture for the co-working office.,Section Drawing,Neutral,2025-04-13,2,0.96,Reflected Ceiling Plan,0.96
Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Finish Schedule,Neutral,2025-05-06,7,0.94,Hardscape Plan,0.83
Furniture Layout Finalization,Plan and position loose and built-in furniture for the co-working office.,Technical Specification,Low,2025-04-13,6,0.96,Finish Schedule,0.93
Client Feedback Revisions,Implement client-requested changes into the design presentation.,Section Drawing,Neutral,2025-04-14,1,0.88,Door & Window Schedule,0.8
Landscape Design Refinement,Enhance the planting layout for the residential garden.,Floor Plan,Neutral,2025-04-30,10,0.9,Schematic Design,0.92
Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Section Drawing,Low,2025-04-15,4,0.86,Furniture Layout Plan,1.0
Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Zoning & Building Code Compliance,High,2025-05-05,1,0.86,Conceptual Design,0.91
Furniture Layout Finalization,Plan and position loose and built-in furniture for the co-working office.,3D Render,Neutral,2025-04-13,8,0.99,3D Model,0.82
Permit Drawing Submission,Prepare and submit permit drawings for approval.,Partition Plan,Neutral,2025-04-25,8,0.88,Section Drawing,0.89
Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Site Plan,Low,2025-04-15,8,0.97,Technical Specification,0.85
Structural Coordination,Coordinate with the structural engineer for beam placements.,Landscape Plan,Low,2025-04-12,9,0.95,Zoning & Building Code Compliance,0.88
Green Roof Plan Development,Design the planting and drainage system for the green roof.,Virtual Reality,Neutral,2025-05-03,9,0.92,Floor Plan,0.85
Finish Schedule Compilation,"List all interior finishes including floors, walls, and ceilings for the commercial space.",Interior Layout Plan,High,2025-04-29,1,0.96,Virtual Reality,0.91
Interior Material Board Creation,"Prepare a presentation board with fabric, finish, and texture samples.",Schematic Design,Neutral,2025-04-28,8,0.96,Construction Document,0.99
Detail Section Drawing,Draw enlarged sections through complex junctions in the facade.,Construction Document,High,2025-05-07,5,0.97,Design Development,0.96
Landscape Design Refinement,Enhance the planting layout for the residential garden.,Custom Millwork & Joinery Drawing,Neutral,2025-04-20,5,0.96,Permit Drawing,0.84
Construction Site Visit,Visit the site to verify dimensions before construction begins.,Schematic Design,High,2025-04-15,7,0.93,Furniture Layout Plan,0.82
Virtual Reality Walkthrough,Develop an immersive VR experience for client presentation of the office interior.,Material Board,Low,2025-04-19,8,0.8,Furniture Layout Plan,0.87
Schematic Design Iteration,Refine the schematic design for feedback from the stakeholders.,Floor Plan,Neutral,2025-05-03,6,0.99,Site Plan,0.94
Client Feedback Revisions,Implement client-requested changes into the design presentation.,Interior Layout Plan,High,2025-04-22,4,0.98,Technical Specification,0.86
Virtual Reality Walkthrough,Develop an immersive VR experience for client presentation of the office interior.,Technical Specification,High,2025-04-17,2,0.9,Hardscape Plan,0.98
Reflected Ceiling Plan Drafting,Draft the reflected ceiling plan including lighting and HVAC elements.,Site Plan,Neutral,2025-04-17,2,0.84,Design Development,0.97
Interior Material Board Creation,"Prepare a presentation board with fabric, finish, and texture samples.",Section Drawing,Neutral,2025-05-03,4,0.9,Floor Plan,0.91
Door & Window Schedule Drafting,Create a detailed schedule for all doors and windows in the hospitality project.,Custom Millwork & Joinery Drawing,High,2025-04-14,10,0.88,Lighting & Fixture Plan,0.8
Construction Documentation,Compile detailed construction drawings for city permit approval.,Floor Plan,Neutral,2025-04-22,2,0.8,Virtual Reality,0.97
Zoning Compliance Review,Analyze local zoning regulations to ensure the proposed design aligns with building codes.,Lighting & Fixture Plan,High,2025-05-05,4,0.94,Roof Plan,0.83
Roof Plan Drawing,"Detail the slope, drainage, and roofing system layout for the warehouse.",Hardscape Plan,Neutral,2025-04-28,8,0.88,Reflected Ceiling Plan,0.89
MEP Clash Detection,Run a clash detection session between MEP and architectural models.,Material Board,Neutral,2025-04-22,8,0.92,Floor Plan,0.94
Virtual Reality Walkthrough,Develop an immersive VR experience for client presentation of the office interior.,General Specification,Low,2025-04-11,7,0.99,Hardscape Plan,0.98
Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Schematic Design,Low,2025-04-19,9,0.84,3D Render,0.83
Door & Window Schedule Drafting,Create a detailed schedule for all doors and windows in the hospitality project.,3D Model,Low,2025-05-08,5,0.85,Roof Plan,0.97
General Specification Draft,Prepare general notes and material specifications for tender documents.,General Specification,High,2025-05-01,9,0.87,Roof Plan,0.97
Reflected Ceiling Plan Drafting,Draft the reflected ceiling plan including lighting and HVAC elements.,Floor Plan,High,2025-04-30,9,0.94,Section Drawing,0.87
Furniture Layout Finalization,Plan and position loose and built-in furniture for the co-working office.,Permit Drawing,Neutral,2025-05-08,7,0.9,Section Drawing,1.0
Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Material Board,Neutral,2025-04-25,7,0.9,Door & Window Schedule,0.81
Sustainability Assessment,Evaluate building materials and systems for LEED compliance.,Site Plan,Neutral,2025-04-11,9,0.97,Virtual Reality,0.97
Custom Fixture Detailing,Design custom-built washbasin counters for the hotel suites.,Lighting & Fixture Plan,Neutral,2025-04-29,6,0.91,Hardscape Plan,0.83
Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Material Board,High,2025-04-25,8,0.99,3D Render,0.97
Structural Coordination,Coordinate with the structural engineer for beam placements.,General Specification,Low,2025-04-12,8,0.92,Door & Window Schedule,0.94
Green Roof Plan Development,Design the planting and drainage system for the green roof.,3D Render,Low,2025-04-13,5,0.88,Roof Plan,0.89
Site Plan Drafting,Prepare a site plan layout considering zoning and access.,3D Render,Neutral,2025-05-07,1,0.83,Virtual Reality,0.99
Structural Coordination,Coordinate with the structural engineer for beam placements.,Interior Layout Plan,Low,2025-04-30,7,0.91,Elevation Drawing,0.94
Building Performance Analysis,Assess daylighting and thermal performance using simulation tools.,Interior Layout Plan,Low,2025-05-07,6,0.98,Zoning & Building Code Compliance,0.87
Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Landscape Plan,Neutral,2025-04-24,4,0.99,Material Board,0.9
Roof Plan Drawing,"Detail the slope, drainage, and roofing system layout for the warehouse.",Conceptual Design,Neutral,2025-04-12,8,0.98,Partition Plan,0.99
Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Material Board,Neutral,2025-04-14,6,0.95,3D Render,0.85
Sustainability Assessment,Evaluate building materials and systems for LEED compliance.,Permit Drawing,Neutral,2025-04-27,2,0.95,Zoning & Building Code Compliance,0.8
General Specification Draft,Prepare general notes and material specifications for tender documents.,3D Render,Low,2025-04-18,8,0.86,Reflected Ceiling Plan,0.82
Permit Drawing Submission,Prepare and submit permit drawings for approval.,Technical Specification,Low,2025-05-07,3,0.93,Virtual Reality,0.96
Zoning Compliance Review,Analyze local zoning regulations to ensure the proposed design aligns with building codes.,Finish Schedule,High,2025-05-01,1,0.94,Permit Drawing,0.93
Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Finish Schedule,Neutral,2025-05-05,9,0.88,Zoning & Building Code Compliance,0.94
Material Selection & Specification,Curate materials and finishes for the sustainable home project.,3D Render,Neutral,2025-04-19,9,1.0,Section Drawing,0.89
Zoning Compliance Review,Analyze local zoning regulations to ensure the proposed design aligns with building codes.,Hardscape Plan,Neutral,2025-04-14,3,0.97,Partition Plan,0.89
3D Model Development,Create a detailed 3D model for the client’s new residential project.,Lighting & Fixture Plan,Low,2025-05-10,8,0.89,Elevation Drawing,0.92
Zoning Compliance Review,Analyze local zoning regulations to ensure the proposed design aligns with building codes.,Hardscape Plan,High,2025-04-16,3,0.84,Hardscape Plan,0.8
Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Custom Millwork & Joinery Drawing,Neutral,2025-04-27,2,0.89,Reflected Ceiling Plan,0.86
Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Virtual Reality,Low,2025-04-11,8,0.99,Others,0.98
3D Massing Model,Create a conceptual massing model to test building envelope limitations.,Others,Neutral,2025-04-25,9,0.81,Site Plan,0.98
Construction Documentation,Compile detailed construction drawings for city permit approval.,Permit Drawing,Neutral,2025-04-26,3,0.8,General Specification,0.95
Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Furniture Layout Plan,High,2025-05-08,7,0.82,Permit Drawing,1.0
Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Interior Layout Plan,High,2025-04-25,10,0.97,Interior Layout Plan,0.92
Furniture Layout Finalization,Plan and position loose and built-in furniture for the co-working office.,General Specification,Neutral,2025-04-14,7,0.95,Zoning & Building Code Compliance,0.89
Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Reflected Ceiling Plan,Neutral,2025-04-28,5,0.98,General Specification,0.89
Finish Schedule Compilation,"List all interior finishes including floors, walls, and ceilings for the commercial space.",Roof Plan,High,2025-05-07,3,0.89,Interior Layout Plan,0.92
Door & Window Schedule Drafting,Create a detailed schedule for all doors and windows in the hospitality project.,Design Development,Neutral,2025-05-01,7,0.96,Interior Layout Plan,0.97
Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Others,High,2025-04-25,7,0.81,Reflected Ceiling Plan,0.89
Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Others,Neutral,2025-05-10,5,0.85,Roof Plan,0.88
MEP Clash Detection,Run a clash detection session between MEP and architectural models.,Interior Layout Plan,Low,2025-04-20,7,0.8,Custom Millwork & Joinery Drawing,0.96
Detail Section Drawing,Draw enlarged sections through complex junctions in the facade.,Construction Document,Low,2025-04-28,3,0.82,3D Model,0.87
Door & Window Schedule Drafting,Create a detailed schedule for all doors and windows in the hospitality project.,Section Drawing,Neutral,2025-05-02,6,0.86,Floor Plan,0.83
3D Massing Model,Create a conceptual massing model to test building envelope limitations.,3D Model,Neutral,2025-04-11,4,0.85,Design Development,0.96
Permit Drawing Submission,Prepare and submit permit drawings for approval.,3D Render,Low,2025-04-22,6,0.85,Custom Millwork & Joinery Drawing,0.91
Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Furniture Layout Plan,Neutral,2025-04-18,2,0.86,Site Plan,0.97
Structural Coordination,Coordinate with the structural engineer for beam placements.,Reflected Ceiling Plan,Low,2025-04-18,9,0.95,3D Render,0.94
Sustainability Assessment,Evaluate building materials and systems for LEED compliance.,Landscape Plan,High,2025-04-20,7,0.84,Permit Drawing,0.9
Schematic Design Iteration,Refine the schematic design for feedback from the stakeholders.,Landscape Plan,Neutral,2025-04-17,9,0.92,Material Board,0.98
Finish Schedule Compilation,"List all interior finishes including floors, walls, and ceilings for the commercial space.",Interior Layout Plan,Neutral,2025-05-07,8,0.83,Floor Plan,0.85
Construction Site Visit,Visit the site to verify dimensions before construction begins.,Design Development,Neutral,2025-04-28,3,0.85,Floor Plan,0.94
Zoning Compliance Review,Analyze local zoning regulations to ensure the proposed design aligns with building codes.,Zoning & Building Code Compliance,Neutral,2025-05-03,10,0.81,Design Development,0.99
Reflected Ceiling Plan Drafting,Draft the reflected ceiling plan including lighting and HVAC elements.,Hardscape Plan,Low,2025-04-20,2,0.99,Section Drawing,0.92
General Specification Draft,Prepare general notes and material specifications for tender documents.,Roof Plan,Neutral,2025-05-04,7,0.83,General Specification,0.97
3D Massing Model,Create a conceptual massing model to test building envelope limitations.,Reflected Ceiling Plan,Low,2025-04-29,6,0.81,Conceptual Design,0.94
MEP Clash Detection,Run a clash detection session between MEP and architectural models.,Lighting & Fixture Plan,Low,2025-05-06,1,0.94,Lighting & Fixture Plan,0.83
3D Massing Model,Create a conceptual massing model to test building envelope limitations.,Partition Plan,Neutral,2025-04-13,2,0.98,Others,0.84
MEP Clash Detection,Run a clash detection session between MEP and architectural models.,Site Plan,High,2025-05-03,4,0.8,Technical Specification,0.85
Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Design Development,High,2025-04-24,5,1.0,Others,0.9
Design Coordination Meeting,Meet with MEP consultants to ensure design integration across disciplines.,Section Drawing,Low,2025-05-01,2,0.97,Zoning & Building Code Compliance,0.87
Building Performance Analysis,Assess daylighting and thermal performance using simulation tools.,3D Render,Neutral,2025-04-30,6,0.92,General Specification,0.8
Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Construction Document,High,2025-04-15,4,0.95,Partition Plan,0.85
Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Interior Layout Plan,High,2025-04-16,9,0.89,Schematic Design,0.91
Roof Plan Drawing,"Detail the slope, drainage, and roofing system layout for the warehouse.",Furniture Layout Plan,High,2025-04-21,3,0.83,Door & Window Schedule,0.95
Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Finish Schedule,Neutral,2025-05-09,9,1.0,Elevation Drawing,0.99
Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Schematic Design,Low,2025-05-09,5,0.89,Custom Millwork & Joinery Drawing,0.91
Partition Plan Finalization,Define internal partitioning layouts for the healthcare facility.,Partition Plan,Low,2025-05-08,10,0.84,Floor Plan,0.91
Interior Material Board Creation,"Prepare a presentation board with fabric, finish, and texture samples.",Schematic Design,Neutral,2025-04-11,9,0.89,Landscape Plan,0.81
Virtual Reality Walkthrough,Develop an immersive VR experience for client presentation of the office interior.,Door & Window Schedule,Low,2025-05-08,1,0.96,Design Development,0.94
Roof Plan Drawing,"Detail the slope, drainage, and roofing system layout for the warehouse.",Permit Drawing,High,2025-05-03,7,0.99,Interior Layout Plan,0.87
Structural Coordination,Coordinate with the structural engineer for beam placements.,Site Plan,High,2025-04-11,2,1.0,Lighting & Fixture Plan,0.84
Accessibility Audit,Review floor plans for compliance with accessibility standards.,Custom Millwork & Joinery Drawing,High,2025-04-23,3,0.89,Conceptual Design,0.99
Client Feedback Revisions,Implement client-requested changes into the design presentation.,Interior Layout Plan,High,2025-05-10,9,0.86,Landscape Plan,0.88
Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Construction Document,Neutral,2025-04-20,10,0.96,3D Render,0.91
Code Compliance Report,"Prepare a summary document addressing fire, accessibility, and egress codes.",Custom Millwork & Joinery Drawing,Neutral,2025-04-14,9,0.86,Reflected Ceiling Plan,0.8
3D Model Development,Create a detailed 3D model for the client’s new residential project.,Lighting & Fixture Plan,Low,2025-04-14,10,0.84,3D Model,0.88
3D Massing Model,Create a conceptual massing model to test building envelope limitations.,Furniture Layout Plan,High,2025-04-26,5,0.89,Material Board,0.87
Code Compliance Report,"Prepare a summary document addressing fire, accessibility, and egress codes.",Site Plan,Low,2025-04-22,2,0.81,Lighting & Fixture Plan,0.81
Technical Specifications,Compile technical specifications for the construction phase.,Reflected Ceiling Plan,Low,2025-04-29,10,0.81,Zoning & Building Code Compliance,0.88
Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Others,Neutral,2025-05-07,4,0.9,Others,0.94
Permit Drawing Submission,Prepare and submit permit drawings for approval.,Design Development,High,2025-04-26,1,0.95,3D Render,0.89
Custom Fixture Detailing,Design custom-built washbasin counters for the hotel suites.,General Specification,Low,2025-04-15,7,0.97,Site Plan,0.82
Client Feedback Revisions,Implement client-requested changes into the design presentation.,Others,High,2025-04-12,2,0.82,Elevation Drawing,0.95
Reflected Ceiling Plan Drafting,Draft the reflected ceiling plan including lighting and HVAC elements.,Reflected Ceiling Plan,Low,2025-04-14,6,0.92,Lighting & Fixture Plan,0.97
Structural Coordination,Coordinate with the structural engineer for beam placements.,3D Render,Low,2025-04-17,6,0.87,3D Render,0.8
Schematic Design Iteration,Refine the schematic design for feedback from the stakeholders.,Interior Layout Plan,High,2025-05-01,5,0.99,Permit Drawing,0.91
Sustainability Assessment,Evaluate building materials and systems for LEED compliance.,Schematic Design,Low,2025-04-13,6,0.99,Construction Document,0.95
Construction Documentation,Compile detailed construction drawings for city permit approval.,Others,High,2025-04-24,6,0.9,Conceptual Design,0.97
Accessibility Audit,Review floor plans for compliance with accessibility standards.,Lighting & Fixture Plan,Low,2025-04-15,8,0.81,Conceptual Design,0.8
Furniture Layout Finalization,Plan and position loose and built-in furniture for the co-working office.,Finish Schedule,Low,2025-04-22,8,0.86,Construction Document,0.97
Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Door & Window Schedule,Low,2025-04-24,2,0.99,Landscape Plan,0.93
Permit Drawing Submission,Prepare and submit permit drawings for approval.,Design Development,Low,2025-04-11,6,0.92,Interior Layout Plan,0.93
Sustainability Assessment,Evaluate building materials and systems for LEED compliance.,Reflected Ceiling Plan,High,2025-04-16,4,0.92,Reflected Ceiling Plan,0.86
Construction Documentation,Compile detailed construction drawings for city permit approval.,Hardscape Plan,High,2025-05-02,7,0.81,Site Plan,0.82
Detail Section Drawing,Draw enlarged sections through complex junctions in the facade.,Landscape Plan,High,2025-05-03,2,0.99,Others,0.87
Landscape Design Refinement,Enhance the planting layout for the residential garden.,Material Board,Low,2025-04-30,7,0.98,Landscape Plan,0.97
Schematic Design Iteration,Refine the schematic design for feedback from the stakeholders.,Site Plan,Low,2025-05-04,2,0.86,General Specification,0.99
Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Roof Plan,Neutral,2025-04-22,9,0.83,Partition Plan,0.95
Schematic Design Iteration,Refine the schematic design for feedback from the stakeholders.,Interior Layout Plan,High,2025-04-13,10,0.91,Site Plan,0.94
Construction Documentation,Compile detailed construction drawings for city permit approval.,General Specification,Neutral,2025-04-13,9,0.81,Section Drawing,0.86
Building Performance Analysis,Assess daylighting and thermal performance using simulation tools.,Site Plan,High,2025-04-25,7,0.96,Zoning & Building Code Compliance,0.85
Building Performance Analysis,Assess daylighting and thermal performance using simulation tools.,Design Development,High,2025-05-05,7,0.88,Construction Document,0.85
Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Floor Plan,Low,2025-05-05,6,0.88,Material Board,0.94
Roof Plan Drawing,"Detail the slope, drainage, and roofing system layout for the warehouse.",Elevation Drawing,Neutral,2025-05-08,1,0.92,3D Model,0.86
Client Feedback Revisions,Implement client-requested changes into the design presentation.,Conceptual Design,Neutral,2025-04-19,9,0.82,Finish Schedule,0.81
Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Section Drawing,High,2025-04-19,1,0.91,Permit Drawing,0.98
MEP Clash Detection,Run a clash detection session between MEP and architectural models.,Floor Plan,High,2025-04-30,4,0.98,Conceptual Design,0.85
Reflected Ceiling Plan Drafting,Draft the reflected ceiling plan including lighting and HVAC elements.,Custom Millwork & Joinery Drawing,Neutral,2025-05-08,2,0.91,Virtual Reality,0.89
Schematic Design Iteration,Refine the schematic design for feedback from the stakeholders.,Elevation Drawing,Low,2025-04-11,7,0.83,Schematic Design,0.94
Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Custom Millwork & Joinery Drawing,Low,2025-05-08,10,0.95,Finish Schedule,0.97
Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Technical Specification,Low,2025-04-20,9,0.88,Material Board,0.87
Reflected Ceiling Plan Drafting,Draft the reflected ceiling plan including lighting and HVAC elements.,Reflected Ceiling Plan,Neutral,2025-04-25,4,0.84,3D Model,0.93
As-Built Drawing Preparation,Update drawings to reflect actual built conditions post-construction.,Material Board,High,2025-04-17,6,0.89,Schematic Design,0.82
Client Feedback Revisions,Implement client-requested changes into the design presentation.,Section Drawing,Neutral,2025-04-20,9,0.94,Schematic Design,0.81
Construction Documentation,Compile detailed construction drawings for city permit approval.,Section Drawing,High,2025-04-15,10,0.93,3D Model,0.95
Building Performance Analysis,Assess daylighting and thermal performance using simulation tools.,Furniture Layout Plan,Neutral,2025-05-02,8,0.88,Partition Plan,0.85
Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Construction Document,High,2025-04-24,4,0.86,Hardscape Plan,0.84
Accessibility Audit,Review floor plans for compliance with accessibility standards.,Construction Document,Low,2025-04-15,10,0.89,Others,0.87
3D Model Development,Create a detailed 3D model for the client’s new residential project.,Section Drawing,Neutral,2025-05-09,9,0.97,Section Drawing,0.88
Code Compliance Report,"Prepare a summary document addressing fire, accessibility, and egress codes.",Site Plan,High,2025-04-19,5,0.99,Roof Plan,1.0
Door & Window Schedule Drafting,Create a detailed schedule for all doors and windows in the hospitality project.,Custom Millwork & Joinery Drawing,High,2025-04-28,10,0.93,Others,1.0
Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Lighting & Fixture Plan,Low,2025-04-27,6,0.93,Others,0.85
Partition Plan Finalization,Define internal partitioning layouts for the healthcare facility.,Custom Millwork & Joinery Drawing,High,2025-04-27,1,0.88,Conceptual Design,0.83
Construction Documentation,Compile detailed construction drawings for city permit approval.,Others,Neutral,2025-05-01,7,0.81,Material Board,0.86
Virtual Reality Walkthrough,Develop an immersive VR experience for client presentation of the office interior.,Design Development,Low,2025-04-24,3,0.8,Hardscape Plan,0.88
Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Lighting & Fixture Plan,Low,2025-04-20,7,0.9,Zoning & Building Code Compliance,0.91
Schematic Design Iteration,Refine the schematic design for feedback from the stakeholders.,Others,Low,2025-04-21,4,0.9,Elevation Drawing,0.94
Sustainability Assessment,Evaluate building materials and systems for LEED compliance.,Custom Millwork & Joinery Drawing,High,2025-04-13,8,0.81,Custom Millwork & Joinery Drawing,0.89
Custom Fixture Detailing,Design custom-built washbasin counters for the hotel suites.,General Specification,Neutral,2025-04-22,4,0.96,Section Drawing,0.93
Construction Site Visit,Visit the site to verify dimensions before construction begins.,Elevation Drawing,High,2025-05-05,2,0.92,Construction Document,0.87
Design Coordination Meeting,Meet with MEP consultants to ensure design integration across disciplines.,Zoning & Building Code Compliance,Neutral,2025-04-25,2,0.89,Custom Millwork & Joinery Drawing,0.92
Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Technical Specification,Neutral,2025-04-26,9,0.84,Construction Document,0.92
Roof Plan Drawing,"Detail the slope, drainage, and roofing system layout for the warehouse.",Zoning & Building Code Compliance,Neutral,2025-04-18,1,0.92,Zoning & Building Code Compliance,0.95
Bid Package Compilation,Organize all documents needed for contractor bidding.,Furniture Layout Plan,Low,2025-04-30,4,0.99,Partition Plan,0.96
Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Conceptual Design,High,2025-04-30,5,0.8,3D Render,0.96
Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Site Plan,Low,2025-04-28,10,0.94,Permit Drawing,0.95
Reflected Ceiling Plan Drafting,Draft the reflected ceiling plan including lighting and HVAC elements.,Floor Plan,Neutral,2025-04-28,7,0.83,Site Plan,0.92
Interior Material Board Creation,"Prepare a presentation board with fabric, finish, and texture samples.",Technical Specification,Neutral,2025-05-06,10,1.0,3D Render,0.91
Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,General Specification,Neutral,2025-04-18,2,0.98,Interior Layout Plan,0.84
Construction Documentation,Compile detailed construction drawings for city permit approval.,Section Drawing,Low,2025-04-15,9,0.82,Zoning & Building Code Compliance,0.85
Client Feedback Revisions,Implement client-requested changes into the design presentation.,Floor Plan,High,2025-04-21,1,0.8,Schematic Design,0.93
Construction Documentation,Compile detailed construction drawings for city permit approval.,Construction Document,High,2025-04-12,7,0.96,Conceptual Design,0.89
Green Roof Plan Development,Design the planting and drainage system for the green roof.,Roof Plan,Low,2025-04-28,7,0.83,Zoning & Building Code Compliance,0.8
