title,description,type_of_task,priority_level,due_date,workload,avg_quality_score,preferred_task,match_score
3D Massing Model,Create a conceptual massing model to test building envelope limitations.,Partition Plan,Low,2025-05-10,8,0.55,Custom Millwork & Joinery Drawing,0.21
Technical Specifications,Compile technical specifications for the construction phase.,Finish Schedule,High,2025-04-19,6,0.04,Schematic Design,0.31
As-Built Drawing Preparation,Update drawings to reflect actual built conditions post-construction.,Technical Specification,Low,2025-05-08,3,0.22,Custom Millwork & Joinery Drawing,0.14
Roof Plan Drawing,"Detail the slope, drainage, and roofing system layout for the warehouse.",Partition Plan,Low,2025-04-20,2,0.07,Roof Plan,0.11
Finish Schedule Compilation,"List all interior finishes including floors, walls, and ceilings for the commercial space.",Schematic Design,High,2025-04-14,7,0.29,Furniture Layout Plan,0.36
Detail Section Drawing,Draw enlarged sections through complex junctions in the facade.,Hardscape Plan,Neutral,2025-05-08,3,0.19,Site Plan,0.24
Reflected Ceiling Plan Drafting,Draft the reflected ceiling plan including lighting and HVAC elements.,Interior Layout Plan,Neutral,2025-05-02,2,0.18,General Specification,0.24
Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Elevation Drawing,Neutral,2025-05-02,8,0.33,Technical Specification,0.27
Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Schematic Design,High,2025-04-23,4,0.56,Furniture Layout Plan,0.41
3D Model Development,Create a detailed 3D model for the client’s new residential project.,Schematic Design,Low,2025-04-15,3,0.11,Landscape Plan,0.12
Construction Site Visit,Visit the site to verify dimensions before construction begins.,Site Plan,High,2025-04-28,9,0.22,Others,0.34
Door & Window Schedule Drafting,Create a detailed schedule for all doors and windows in the hospitality project.,Landscape Plan,Low,2025-04-17,3,0.5,Furniture Layout Plan,0.2
Landscape Design Refinement,Enhance the planting layout for the residential garden.,Lighting & Fixture Plan,Low,2025-04-29,8,0.34,Elevation Drawing,0.17
General Specification Draft,Prepare general notes and material specifications for tender documents.,Permit Drawing,Low,2025-04-14,7,0.19,Finish Schedule,0.14
Construction Documentation,Compile detailed construction drawings for city permit approval.,Zoning & Building Code Compliance,Neutral,2025-04-14,6,0.72,Finish Schedule,0.34
Landscape Design Refinement,Enhance the planting layout for the residential garden.,Floor Plan,High,2025-04-27,9,0.06,Hardscape Plan,0.31
Structural Coordination,Coordinate with the structural engineer for beam placements.,Zoning & Building Code Compliance,Low,2025-04-13,2,0.22,Construction Document,0.14
Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Schematic Design,Low,2025-05-06,9,0.62,Floor Plan,0.22
Partition Plan Finalization,Define internal partitioning layouts for the healthcare facility.,Section Drawing,Neutral,2025-05-05,6,0.31,Site Plan,0.26
Permit Drawing Submission,Prepare and submit permit drawings for approval.,General Specification,High,2025-05-09,1,0.03,Design Development,0.31
Interior Material Board Creation,"Prepare a presentation board with fabric, finish, and texture samples.",Partition Plan,High,2025-04-18,9,0.28,Floor Plan,0.36
3D Massing Model,Create a conceptual massing model to test building envelope limitations.,3D Model,Low,2025-04-13,3,0.18,Section Drawing,0.14
Finish Schedule Compilation,"List all interior finishes including floors, walls, and ceilings for the commercial space.",3D Model,High,2025-04-12,5,0.21,Partition Plan,0.34
Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Technical Specification,Neutral,2025-04-24,6,0.31,Door & Window Schedule,0.26
Green Roof Plan Development,Design the planting and drainage system for the green roof.,Roof Plan,Low,2025-04-16,9,0.38,Virtual Reality,0.18
Client Feedback Revisions,Implement client-requested changes into the design presentation.,Lighting & Fixture Plan,High,2025-04-25,4,0.34,General Specification,0.37
Door & Window Schedule Drafting,Create a detailed schedule for all doors and windows in the hospitality project.,Door & Window Schedule,High,2025-04-24,3,0.3,General Specification,0.36
Building Performance Analysis,Assess daylighting and thermal performance using simulation tools.,Others,High,2025-04-19,5,0.05,Virtual Reality,0.31
Partition Plan Finalization,Define internal partitioning layouts for the healthcare facility.,3D Render,Neutral,2025-04-23,4,0.15,Technical Specification,0.23
Partition Plan Finalization,Define internal partitioning layouts for the healthcare facility.,Virtual Reality,High,2025-05-06,5,0.45,3D Model,0.39
Detail Section Drawing,Draw enlarged sections through complex junctions in the facade.,Floor Plan,Low,2025-05-06,2,0.41,General Specification,0.18
Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Technical Specification,High,2025-04-12,6,0.52,Interior Layout Plan,0.4
Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Furniture Layout Plan,Neutral,2025-05-06,9,0.25,Others,0.25
General Specification Draft,Prepare general notes and material specifications for tender documents.,General Specification,Neutral,2025-04-13,3,0.53,Finish Schedule,0.31
Detail Section Drawing,Draw enlarged sections through complex junctions in the facade.,Landscape Plan,High,2025-04-23,10,0.29,Virtual Reality,0.36
Accessibility Audit,Review floor plans for compliance with accessibility standards.,Hardscape Plan,Low,2025-04-11,3,0.26,Interior Layout Plan,0.15
Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Design Development,Neutral,2025-04-20,4,0.17,Zoning & Building Code Compliance,0.23
Code Compliance Report,"Prepare a summary document addressing fire, accessibility, and egress codes.",Landscape Plan,Neutral,2025-04-21,6,0.46,Custom Millwork & Joinery Drawing,0.29
Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Interior Layout Plan,Low,2025-05-10,9,0.17,Lighting & Fixture Plan,0.13
Virtual Reality Walkthrough,Develop an immersive VR experience for client presentation of the office interior.,3D Model,High,2025-05-07,4,0.19,Landscape Plan,0.34
Zoning Compliance Review,Analyze local zoning regulations to ensure the proposed design aligns with building codes.,Hardscape Plan,Neutral,2025-05-06,2,0.33,Zoning & Building Code Compliance,0.27
Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Custom Millwork & Joinery Drawing,Neutral,2025-05-05,4,0.33,Construction Document,0.27
Technical Specifications,Compile technical specifications for the construction phase.,Technical Specification,High,2025-05-09,10,0.03,Reflected Ceiling Plan,0.31
Finish Schedule Compilation,"List all interior finishes including floors, walls, and ceilings for the commercial space.",Others,Low,2025-04-18,2,0.23,Interior Layout Plan,0.15
Client Feedback Revisions,Implement client-requested changes into the design presentation.,Site Plan,Low,2025-04-22,7,0.25,Reflected Ceiling Plan,0.15
Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Partition Plan,Neutral,2025-05-10,6,0.19,Others,0.24
Construction Documentation,Compile detailed construction drawings for city permit approval.,Lighting & Fixture Plan,Low,2025-05-02,7,0.45,Design Development,0.19
Roof Plan Drawing,"Detail the slope, drainage, and roofing system layout for the warehouse.",3D Render,High,2025-04-11,3,0.39,Partition Plan,0.38
Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Permit Drawing,High,2025-04-22,8,0.21,3D Render,0.34
Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Design Development,Low,2025-04-25,4,0.06,Others,0.11
Virtual Reality Walkthrough,Develop an immersive VR experience for client presentation of the office interior.,Furniture Layout Plan,Neutral,2025-05-10,7,0.12,Elevation Drawing,0.22
Sustainability Assessment,Evaluate building materials and systems for LEED compliance.,Conceptual Design,Low,2025-04-25,1,0.18,Construction Document,0.14
Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Elevation Drawing,Low,2025-04-19,3,0.15,Material Board,0.13
Furniture Layout Finalization,Plan and position loose and built-in furniture for the co-working office.,Door & Window Schedule,Low,2025-05-07,5,0.4,Partition Plan,0.18
Code Compliance Report,"Prepare a summary document addressing fire, accessibility, and egress codes.",Permit Drawing,Neutral,2025-04-12,4,0.34,General Specification,0.27
As-Built Drawing Preparation,Update drawings to reflect actual built conditions post-construction.,Door & Window Schedule,High,2025-04-26,1,0.51,Zoning & Building Code Compliance,0.4
Construction Site Visit,Visit the site to verify dimensions before construction begins.,Design Development,Low,2025-04-29,3,0.28,Schematic Design,0.16
Permit Drawing Submission,Prepare and submit permit drawings for approval.,Design Development,Low,2025-05-09,10,0.41,Reflected Ceiling Plan,0.18
Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Roof Plan,High,2025-04-23,4,0.29,Conceptual Design,0.36
Building Performance Analysis,Assess daylighting and thermal performance using simulation tools.,Hardscape Plan,High,2025-04-18,2,0.31,Design Development,0.36
Building Performance Analysis,Assess daylighting and thermal performance using simulation tools.,Design Development,Low,2025-05-01,6,0.21,Custom Millwork & Joinery Drawing,0.14
Schematic Design Iteration,Refine the schematic design for feedback from the stakeholders.,3D Render,Neutral,2025-05-10,1,0.54,Conceptual Design,0.31
Accessibility Audit,Review floor plans for compliance with accessibility standards.,Interior Layout Plan,High,2025-05-02,10,0.24,Permit Drawing,0.35
Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Technical Specification,High,2025-04-28,10,0.69,3D Render,0.44
Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Hardscape Plan,Low,2025-04-23,10,0.34,Others,0.17
Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Roof Plan,Low,2025-05-09,4,0.38,Elevation Drawing,0.18
Interior Material Board Creation,"Prepare a presentation board with fabric, finish, and texture samples.",Conceptual Design,High,2025-04-27,1,0.31,Construction Document,0.36
Detail Section Drawing,Draw enlarged sections through complex junctions in the facade.,3D Model,Low,2025-04-20,2,0.1,Finish Schedule,0.12
As-Built Drawing Preparation,Update drawings to reflect actual built conditions post-construction.,Conceptual Design,Neutral,2025-04-25,4,0.2,Hardscape Plan,0.24
Interior Material Board Creation,"Prepare a presentation board with fabric, finish, and texture samples.",Technical Specification,Low,2025-04-29,6,0.53,Hardscape Plan,0.21
Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Partition Plan,Neutral,2025-04-20,3,0.08,Interior Layout Plan,0.22
Structural Coordination,Coordinate with the structural engineer for beam placements.,General Specification,Neutral,2025-04-29,6,0.41,Site Plan,0.28
MEP Clash Detection,Run a clash detection session between MEP and architectural models.,Virtual Reality,Low,2025-05-04,10,0.46,3D Render,0.19
Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Custom Millwork & Joinery Drawing,Low,2025-04-11,3,0.47,Conceptual Design,0.19
Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Design Development,Low,2025-04-23,6,0.13,Hardscape Plan,0.13
Construction Site Visit,Visit the site to verify dimensions before construction begins.,Elevation Drawing,Neutral,2025-04-25,4,0.49,Technical Specification,0.3
Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Virtual Reality,Low,2025-05-08,9,0.42,Permit Drawing,0.18
Detail Section Drawing,Draw enlarged sections through complex junctions in the facade.,Zoning & Building Code Compliance,Neutral,2025-04-24,8,0.12,Landscape Plan,0.22
Sustainability Assessment,Evaluate building materials and systems for LEED compliance.,Conceptual Design,High,2025-04-23,5,0.21,Zoning & Building Code Compliance,0.34
Permit Drawing Submission,Prepare and submit permit drawings for approval.,Permit Drawing,Neutral,2025-04-23,2,0.05,Partition Plan,0.21
Building Performance Analysis,Assess daylighting and thermal performance using simulation tools.,3D Render,Neutral,2025-04-23,2,0.1,General Specification,0.22
Sustainability Assessment,Evaluate building materials and systems for LEED compliance.,Roof Plan,Neutral,2025-04-11,2,0.22,Site Plan,0.24
Permit Drawing Submission,Prepare and submit permit drawings for approval.,Permit Drawing,Neutral,2025-04-17,3,0.25,Conceptual Design,0.25
Detail Section Drawing,Draw enlarged sections through complex junctions in the facade.,Elevation Drawing,Neutral,2025-05-07,5,0.39,Furniture Layout Plan,0.28
Technical Specifications,Compile technical specifications for the construction phase.,Custom Millwork & Joinery Drawing,Low,2025-04-17,9,0.18,Section Drawing,0.14
Schematic Design Iteration,Refine the schematic design for feedback from the stakeholders.,Door & Window Schedule,Neutral,2025-05-04,6,0.21,Schematic Design,0.24
Finish Schedule Compilation,"List all interior finishes including floors, walls, and ceilings for the commercial space.",Zoning & Building Code Compliance,Low,2025-05-03,5,0.18,Design Development,0.14
Door & Window Schedule Drafting,Create a detailed schedule for all doors and windows in the hospitality project.,Reflected Ceiling Plan,Neutral,2025-05-03,7,0.58,Schematic Design,0.32
Custom Fixture Detailing,Design custom-built washbasin counters for the hotel suites.,Custom Millwork & Joinery Drawing,High,2025-05-01,10,0.34,Roof Plan,0.37
Partition Plan Finalization,Define internal partitioning layouts for the healthcare facility.,Material Board,Neutral,2025-04-11,7,0.15,Roof Plan,0.23
Schematic Design Iteration,Refine the schematic design for feedback from the stakeholders.,Custom Millwork & Joinery Drawing,Neutral,2025-05-04,7,0.12,Hardscape Plan,0.22
Interior Material Board Creation,"Prepare a presentation board with fabric, finish, and texture samples.",Others,High,2025-05-07,3,0.13,3D Model,0.33
MEP Clash Detection,Run a clash detection session between MEP and architectural models.,Schematic Design,Low,2025-04-13,4,0.23,Roof Plan,0.15
Construction Documentation,Compile detailed construction drawings for city permit approval.,Technical Specification,High,2025-05-08,6,0.32,Others,0.36
Roof Plan Drawing,"Detail the slope, drainage, and roofing system layout for the warehouse.",Conceptual Design,Neutral,2025-04-22,8,0.1,Section Drawing,0.22
Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Conceptual Design,High,2025-05-10,8,0.22,Conceptual Design,0.64
Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Partition Plan,Neutral,2025-04-27,4,0.53,Interior Layout Plan,0.31
Partition Plan Finalization,Define internal partitioning layouts for the healthcare facility.,Technical Specification,Low,2025-05-06,1,0.17,Floor Plan,0.13
Green Roof Plan Development,Design the planting and drainage system for the green roof.,3D Model,High,2025-05-03,6,0.23,General Specification,0.35
Sustainability Assessment,Evaluate building materials and systems for LEED compliance.,Custom Millwork & Joinery Drawing,Low,2025-05-04,9,0.18,Custom Millwork & Joinery Drawing,0.44
Building Performance Analysis,Assess daylighting and thermal performance using simulation tools.,Interior Layout Plan,High,2025-05-07,7,0.35,Hardscape Plan,0.37
Custom Fixture Detailing,Design custom-built washbasin counters for the hotel suites.,Section Drawing,Low,2025-05-07,9,0.53,Custom Millwork & Joinery Drawing,0.21
Code Compliance Report,"Prepare a summary document addressing fire, accessibility, and egress codes.",Furniture Layout Plan,Neutral,2025-05-03,10,0.24,Virtual Reality,0.25
Roof Plan Drawing,"Detail the slope, drainage, and roofing system layout for the warehouse.",3D Model,Low,2025-04-12,3,0.41,Section Drawing,0.18
Bid Package Compilation,Organize all documents needed for contractor bidding.,Material Board,Neutral,2025-04-22,7,0.57,Furniture Layout Plan,0.31
Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Design Development,Low,2025-04-15,6,0.05,3D Model,0.11
Reflected Ceiling Plan Drafting,Draft the reflected ceiling plan including lighting and HVAC elements.,Site Plan,High,2025-04-18,9,0.56,Door & Window Schedule,0.41
Reflected Ceiling Plan Drafting,Draft the reflected ceiling plan including lighting and HVAC elements.,Material Board,Low,2025-04-27,10,0.32,Permit Drawing,0.16
As-Built Drawing Preparation,Update drawings to reflect actual built conditions post-construction.,Design Development,Neutral,2025-05-04,9,0.23,Others,0.25
Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Partition Plan,Neutral,2025-04-16,8,0.79,Technical Specification,0.36
Schematic Design Iteration,Refine the schematic design for feedback from the stakeholders.,Hardscape Plan,High,2025-04-27,9,0.15,Door & Window Schedule,0.33
Permit Drawing Submission,Prepare and submit permit drawings for approval.,Partition Plan,Low,2025-04-23,7,0.19,Site Plan,0.14
General Specification Draft,Prepare general notes and material specifications for tender documents.,Section Drawing,Neutral,2025-05-05,8,0.38,Custom Millwork & Joinery Drawing,0.28
Detail Section Drawing,Draw enlarged sections through complex junctions in the facade.,Schematic Design,High,2025-04-25,10,0.54,Landscape Plan,0.41
Green Roof Plan Development,Design the planting and drainage system for the green roof.,3D Render,Low,2025-04-22,4,0.44,Material Board,0.19
Bid Package Compilation,Organize all documents needed for contractor bidding.,Section Drawing,High,2025-04-15,1,0.38,Interior Layout Plan,0.38
Door & Window Schedule Drafting,Create a detailed schedule for all doors and windows in the hospitality project.,Floor Plan,Low,2025-04-23,10,0.05,Landscape Plan,0.11
Partition Plan Finalization,Define internal partitioning layouts for the healthcare facility.,Door & Window Schedule,Low,2025-04-16,6,0.36,Permit Drawing,0.17
Custom Fixture Detailing,Design custom-built washbasin counters for the hotel suites.,Permit Drawing,Neutral,2025-04-20,3,0.33,Virtual Reality,0.27
Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Partition Plan,Neutral,2025-04-29,10,0.29,Section Drawing,0.26
Furniture Layout Finalization,Plan and position loose and built-in furniture for the co-working office.,Construction Document,High,2025-05-04,4,0.15,Conceptual Design,0.33
Building Performance Analysis,Assess daylighting and thermal performance using simulation tools.,Finish Schedule,Neutral,2025-04-17,5,0.43,Furniture Layout Plan,0.29
Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Floor Plan,Low,2025-05-01,10,0.07,Virtual Reality,0.11
As-Built Drawing Preparation,Update drawings to reflect actual built conditions post-construction.,Technical Specification,Low,2025-05-06,8,0.15,3D Render,0.13
3D Massing Model,Create a conceptual massing model to test building envelope limitations.,Roof Plan,Low,2025-05-01,4,0.32,Custom Millwork & Joinery Drawing,0.16
Lighting Plan Design,Create a lighting and fixture layout for the retail store.,3D Model,Low,2025-04-26,3,0.31,Partition Plan,0.16
Technical Specifications,Compile technical specifications for the construction phase.,Custom Millwork & Joinery Drawing,High,2025-04-22,2,0.32,Design Development,0.36
Sustainability Assessment,Evaluate building materials and systems for LEED compliance.,Hardscape Plan,Neutral,2025-04-27,10,0.04,Partition Plan,0.21
Schematic Design Iteration,Refine the schematic design for feedback from the stakeholders.,Interior Layout Plan,Neutral,2025-05-08,3,0.08,Site Plan,0.22
Technical Specifications,Compile technical specifications for the construction phase.,Section Drawing,High,2025-05-01,7,0.28,Interior Layout Plan,0.36
Permit Drawing Submission,Prepare and submit permit drawings for approval.,Furniture Layout Plan,Neutral,2025-04-18,5,0.23,Custom Millwork & Joinery Drawing,0.25
Reflected Ceiling Plan Drafting,Draft the reflected ceiling plan including lighting and HVAC elements.,Hardscape Plan,Low,2025-04-25,10,0.52,Conceptual Design,0.2
Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Schematic Design,Low,2025-05-10,3,0.38,Door & Window Schedule,0.18
Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Zoning & Building Code Compliance,High,2025-04-15,3,0.29,General Specification,0.36
Interior Material Board Creation,"Prepare a presentation board with fabric, finish, and texture samples.",Technical Specification,Low,2025-04-21,1,0.08,Material Board,0.12
Building Performance Analysis,Assess daylighting and thermal performance using simulation tools.,3D Model,Low,2025-04-21,6,0.59,Custom Millwork & Joinery Drawing,0.22
3D Model Development,Create a detailed 3D model for the client’s new residential project.,Others,Neutral,2025-04-11,10,0.07,Custom Millwork & Joinery Drawing,0.21
Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Roof Plan,Low,2025-05-04,10,0.52,3D Render,0.2
Bid Package Compilation,Organize all documents needed for contractor bidding.,Door & Window Schedule,Low,2025-05-06,1,0.13,Roof Plan,0.13
Structural Coordination,Coordinate with the structural engineer for beam placements.,Hardscape Plan,High,2025-05-03,5,0.1,Construction Document,0.32
Virtual Reality Walkthrough,Develop an immersive VR experience for client presentation of the office interior.,Section Drawing,Neutral,2025-04-25,2,0.37,Reflected Ceiling Plan,0.27
Construction Documentation,Compile detailed construction drawings for city permit approval.,Partition Plan,Low,2025-04-22,3,0.45,Zoning & Building Code Compliance,0.19
Schematic Design Iteration,Refine the schematic design for feedback from the stakeholders.,Design Development,Neutral,2025-05-02,7,0.13,Interior Layout Plan,0.23
Interior Material Board Creation,"Prepare a presentation board with fabric, finish, and texture samples.",Construction Document,Low,2025-05-04,6,0.16,3D Render,0.13
Accessibility Audit,Review floor plans for compliance with accessibility standards.,Material Board,High,2025-04-12,6,0.4,General Specification,0.38
Design Coordination Meeting,Meet with MEP consultants to ensure design integration across disciplines.,Virtual Reality,Low,2025-04-21,9,0.42,Floor Plan,0.18
Client Feedback Revisions,Implement client-requested changes into the design presentation.,Design Development,Neutral,2025-05-07,5,0.27,Door & Window Schedule,0.25
Finish Schedule Compilation,"List all interior finishes including floors, walls, and ceilings for the commercial space.",Custom Millwork & Joinery Drawing,Low,2025-04-18,3,0.39,Construction Document,0.18
Partition Plan Finalization,Define internal partitioning layouts for the healthcare facility.,Design Development,Neutral,2025-04-26,7,0.43,Zoning & Building Code Compliance,0.29
Zoning Compliance Review,Analyze local zoning regulations to ensure the proposed design aligns with building codes.,Schematic Design,High,2025-04-19,3,0.07,Material Board,0.31
Zoning Compliance Review,Analyze local zoning regulations to ensure the proposed design aligns with building codes.,Door & Window Schedule,Low,2025-05-01,2,0.29,Material Board,0.16
Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Elevation Drawing,Neutral,2025-04-30,6,0.27,Virtual Reality,0.25
Reflected Ceiling Plan Drafting,Draft the reflected ceiling plan including lighting and HVAC elements.,Virtual Reality,High,2025-05-09,6,0.04,Landscape Plan,0.31
Finish Schedule Compilation,"List all interior finishes including floors, walls, and ceilings for the commercial space.",Schematic Design,Low,2025-05-06,10,0.61,Hardscape Plan,0.22
Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Section Drawing,Low,2025-04-13,4,0.24,General Specification,0.15
Client Feedback Revisions,Implement client-requested changes into the design presentation.,Partition Plan,Neutral,2025-04-24,6,0.48,Custom Millwork & Joinery Drawing,0.3
Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Finish Schedule,High,2025-04-26,4,0.58,Construction Document,0.42
Zoning Compliance Review,Analyze local zoning regulations to ensure the proposed design aligns with building codes.,Roof Plan,Low,2025-05-08,6,0.16,Floor Plan,0.13
Structural Coordination,Coordinate with the structural engineer for beam placements.,Section Drawing,High,2025-04-21,9,0.36,Finish Schedule,0.37
Finish Schedule Compilation,"List all interior finishes including floors, walls, and ceilings for the commercial space.",Lighting & Fixture Plan,Neutral,2025-05-06,5,0.38,Others,0.28
Finish Schedule Compilation,"List all interior finishes including floors, walls, and ceilings for the commercial space.",Furniture Layout Plan,Neutral,2025-04-27,2,0.41,Others,0.28
3D Model Development,Create a detailed 3D model for the client’s new residential project.,Reflected Ceiling Plan,Low,2025-04-13,6,0.28,Others,0.16
Technical Specifications,Compile technical specifications for the construction phase.,Zoning & Building Code Compliance,High,2025-05-08,7,0.42,Elevation Drawing,0.38
3D Model Development,Create a detailed 3D model for the client’s new residential project.,Technical Specification,High,2025-05-04,3,0.45,Custom Millwork & Joinery Drawing,0.39
Technical Specifications,Compile technical specifications for the construction phase.,Construction Document,Low,2025-04-19,10,0.21,Interior Layout Plan,0.14
Schematic Design Iteration,Refine the schematic design for feedback from the stakeholders.,3D Model,High,2025-05-04,5,0.54,Landscape Plan,0.41
Design Coordination Meeting,Meet with MEP consultants to ensure design integration across disciplines.,Site Plan,Neutral,2025-05-08,10,0.44,Conceptual Design,0.29
Partition Plan Finalization,Define internal partitioning layouts for the healthcare facility.,Interior Layout Plan,High,2025-04-26,10,0.43,Design Development,0.39
Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Conceptual Design,Neutral,2025-04-17,10,0.31,Permit Drawing,0.26
General Specification Draft,Prepare general notes and material specifications for tender documents.,Construction Document,Neutral,2025-04-12,1,0.18,Finish Schedule,0.24
Partition Plan Finalization,Define internal partitioning layouts for the healthcare facility.,Conceptual Design,Neutral,2025-04-22,9,0.39,Site Plan,0.28
Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Section Drawing,Low,2025-04-28,5,0.32,Finish Schedule,0.16
Door & Window Schedule Drafting,Create a detailed schedule for all doors and windows in the hospitality project.,Site Plan,High,2025-05-04,2,0.55,Lighting & Fixture Plan,0.41
Client Feedback Revisions,Implement client-requested changes into the design presentation.,Door & Window Schedule,Low,2025-05-03,7,0.61,Lighting & Fixture Plan,0.22
Landscape Design Refinement,Enhance the planting layout for the residential garden.,Others,Low,2025-04-12,7,0.31,Section Drawing,0.16
Client Feedback Revisions,Implement client-requested changes into the design presentation.,3D Render,Neutral,2025-04-27,4,0.2,Floor Plan,0.24
Green Roof Plan Development,Design the planting and drainage system for the green roof.,Schematic Design,High,2025-05-06,4,0.11,Partition Plan,0.32
